subnum,a.full,h.full,s.full,a.low,h.low,s.low,a.med,h.med,s.med,age,agegrp
1,5.5,6.6,6.5,5.4,5.2,5.5,6,5,5,29,Younger
2,6.8,5.5,6.2,5.5,5.333333333,7,6.5,6,6.2,53,Middle Age
3,5.833333333,6.4,6.2,3.8,6.166666667,5.8,6.2,5.75,6.666666667,67,Older
4,5.833333333,2.2,5.5,5,2.6,5.25,5.333333333,2.75,5.6,40,Middle Age
5,5.833333333,3.5,5.8,5.5,3.25,4.75,5.5,3.666666667,6.2,60,Older
6,5.666666667,1.4,5.833333333,5.25,1.8,4.333333333,5.75,1.5,5,60,Older
7,4.5,2.4,3.25,5.6,5.8,5.5,5,4.2,3.8,61,Older
8,1.2,1,1.5,2.666666667,1.5,1.75,1.2,1,1,76,Older
9,5,4.25,5,5.166666667,4.25,5.2,5.333333333,4.666666667,5,71,Older
10,5.6,3.75,5.75,5.5,4,5.5,6,4,5.666666667,25,Younger
11,6,4.8,5.5,6,4.6,6,6,5,6,66,Older
12,1.2,2.333333333,3,3.6,1.166666667,2.25,3,1,2.166666667,30,Younger
13,2.5,2.25,3.8,2.8,2.666666667,3.666666667,2.5,2.25,2.75,66,Older
14,4.4,2.4,4.666666667,4.833333333,3.6,4,4.2,2.666666667,4,73,Older
15,4.6,1.666666667,5,4.2,3.5,4.8,5.4,2.2,4.75,70,Older
16,6,2.75,4.166666667,4,4,5.2,4.75,4.25,5,37,Younger
17,5.6,1.666666667,5.6,4.8,3,5,6,3,5.4,70,Older
18,1.25,2.8,1.833333333,3.5,3.5,4,2,2.6,4.25,52,Middle Age
19,6.2,3,5,5.5,3.75,4.2,5.5,2.8,4.666666667,50,Middle Age
20,6.6,2.333333333,6,5.25,2.5,5.2,5.833333333,3,5.8,71,Older
21,2.6,2,4.25,3.5,3.666666667,3.4,3,2.666666667,4.833333333,68,Older
22,7,7,7,5,7,6.833333333,7,6.333333333,7,35,Younger
23,2.8,3,2.8,3.4,4,2.8,2.8,3,3,73,Older
24,4,3.5,4.5,5,4.6,4.2,3.5,4.6,3.8,26,Younger
25,6,2.4,5.8,5.5,2.6,5.666666667,5.8,2,5.75,64,Older
26,4,2.666666667,3.666666667,4,3.666666667,4,4.166666667,3.2,4,74,Older
27,4,1.333333333,3.166666667,4.8,4,5.166666667,3.5,1.6,4.25,43,Middle Age
28,2.5,1.8,2.833333333,3,2.5,3.2,3.833333333,2.166666667,3,47,Middle Age
29,7,6.8,7,7,7,7,7,6.75,7,35,Younger
30,7,6.666666667,6.6,7,7,7,7,7,7,68,Older
31,6,1,6.5,5.166666667,1.75,5.5,6.833333333,1.666666667,6,38,Younger
32,3.666666667,3.166666667,3.75,4.2,4,4.333333333,4,3.75,4.5,70,Older
33,1.166666667,1,1.25,1.666666667,2,2.166666667,1.25,1.25,1.2,66,Older
34,7,1,6.5,7,1.25,6.5,7,1,6.8,54,Middle Age
35,2,2,1.5,3.75,3,2.4,2.5,2,2.2,38,Younger
36,1.5,2.2,2.6,4,3.166666667,3.25,2.666666667,2.4,3.2,66,Older
37,5,5,5,5,5,5,5,5,5,50,Middle Age
38,5,3.75,4.4,4.4,3.6,4.4,4.666666667,4,4.4,47,Middle Age
39,1.4,6.166666667,5.333333333,2.5,6,5,2,6.6,2.6,58,Middle Age
40,3,3.333333333,3,4.5,4,4,3.75,3.4,3.75,48,Middle Age
41,4.25,3,4.4,4,3.666666667,4.666666667,4.6,3.2,5.166666667,68,Older
42,2,1,2.333333333,3.5,2.4,3.666666667,2.5,1.75,5.25,75,Older
43,4,2,4,4.6,2,4,4,2,4,71,Older
44,5.166666667,3.5,4.6,4.5,2.6,4.166666667,4.5,4,5,30,Younger
45,2.833333333,3,2.8,3,3.2,3,3.2,3,3,56,Middle Age
46,4.5,1.5,5.5,4.333333333,2,5.166666667,4.666666667,3.2,6.25,40,Middle Age
47,3.666666667,2.6,2.5,3.333333333,4.25,3.6,3,4.2,3.2,33,Younger
48,6.666666667,1.4,5.666666667,4.75,3.4,4.333333333,6.4,3,5.166666667,48,Middle Age
49,6,5.8,5.2,5.4,4.8,5.25,5.5,6.8,5,30,Younger
50,5.5,2.25,5.166666667,4.5,3.8,4.6,5,3,5,46,Middle Age
51,5.75,1,5.2,4.8,1.333333333,3.8,5.166666667,1.5,5,70,Older
52,5.166666667,2.666666667,5.166666667,5,2.8,5.8,5.333333333,2.75,5.333333333,30,Younger
53,7,7,7,7,7,7,7,7,7,31,Younger
54,7,1,7,7,1,7,7,1,7,47,Middle Age
55,2.833333333,2,4.25,4.666666667,3.666666667,6.2,4.6,1.666666667,5.666666667,42,Middle Age
56,2.8,6.4,2.4,3.166666667,5.2,4,2.6,6,2.5,21,Younger
57,6.666666667,6.5,6.5,6.333333333,7,6.4,6.75,6.666666667,6.333333333,30,Younger
58,7,5.833333333,6,7,5.6,6,7,5.833333333,7,73,Older
59,4.4,5,5.333333333,5.666666667,3.4,5.2,5,4,4.6,24,Younger
60,5.2,4.333333333,3,4.8,4.5,6,2.666666667,5.5,4,33,Younger
61,5,5.166666667,5,5,5.2,5,5,4.833333333,5.2,72,Older
62,4.4,2.833333333,5.333333333,4,3.8,5.25,6,4.6,3.4,29,Younger
63,4,NA,NA,4,NA,NA,4,NA,NA,38,Younger
63,NA,4,4,NA,4,4,NA,4,4,38,Middle Age
64,3.6,3.4,4,4.4,4,4,4.4,3.5,3.666666667,70,Older
65,4.5,2.4,5,5.333333333,2,5.166666667,5.25,1.666666667,6.333333333,40,Middle Age
66,4.666666667,2,4.25,5,3.8,4.2,4.8,3.166666667,4.666666667,30,Younger
67,5,2.2,5.2,5.6,1.6,4.5,5.5,2,5.166666667,40,Middle Age
68,6,7,6.666666667,6.75,6,7,7,6.2,7,47,Middle Age
69,2,1.833333333,1.5,1.75,1.5,1.8,1.666666667,1.666666667,1.8,29,Younger
70,4.6,3.8,3.2,3.2,3.666666667,4,3.8,3.6,3.5,30,Younger
71,2.6,2.5,3,2.75,2.166666667,2.2,4.5,2.2,5,36,Younger
72,4,4,3.8,4,4,4,4,4,4,23,Younger
73,5.666666667,1.666666667,5.75,6.333333333,3,5.333333333,5.5,1.833333333,6.25,42,Middle Age
74,3.666666667,3,6,5,3.6,4.4,3.333333333,4.166666667,4,24,Younger
75,5,2.75,4.8,4.8,5.75,5,5.166666667,4.666666667,4.333333333,23,Younger
76,1.8,2,2,1.666666667,2.4,1.8,1,3.6,1.4,28,Younger
77,3.8,3.4,3.666666667,4.75,4.75,4.75,4,4,3.8,54,Middle Age
78,1.5,2.166666667,2.5,2.4,3,2.666666667,1.75,2.8,3,65,Older
79,2.5,3,6.2,6,4.6,7,5,3.8,6.4,41,Middle Age
80,5.4,3.4,5.5,4.166666667,4.6,4.75,5.333333333,3.333333333,4.666666667,23,Younger
81,6.2,2.4,6.166666667,5.4,3.4,4.5,6,4,5.666666667,53,Middle Age
82,3,2.8,3.75,4,3,3.6,4.25,3.166666667,4,27,Younger
83,2.8,2.2,2.75,3.5,3.8,3.333333333,3.2,2.6,3,57,Middle Age
