"subnum","agegrp","age","a.full","h.full","s.full","a.low","h.low","s.low","a.med","h.med","s.med"
1,"Younger","29",5.25,5.6,6.75,5.2,4.6,5,5.33333333333333,5.5,5.66666666666667
2,"Middle Age","53",4.8,3.25,4.6,5.33333333333333,2.66666666666667,4,4.75,2.5,4.4
3,"Older","67",6.16666666666667,1.8,5,6,3.16666666666667,5,6.4,2.5,5
4,"Middle Age","40",5.66666666666667,1.8,5.66666666666667,5.66666666666667,2.6,5.25,5.5,2.75,5.8
5,"Older","60",4.66666666666667,3.25,4.8,5,3.25,4.25,5,2.66666666666667,6.2
6,"Older","60",5.83333333333333,1,6,5.75,1.4,5,6.25,1,5.8
7,"Older","61",5.33333333333333,1.6,4.75,4.2,4.2,4.75,4.6,3.4,4.8
8,"Older","76",7,1,6.5,5.83333333333333,1.33333333333333,6.25,6.6,1.16666666666667,6.75
9,"Older","71",6,1.75,6.2,5.33333333333333,2,6.2,6,2,6.16666666666667
10,"Younger","25",5.8,2.25,5.75,5.25,2.8,5.33333333333333,5.6,2.6,5.66666666666667
11,"Older","66",5.33333333333333,2.8,5.33333333333333,5,3,5.16666666666667,5,3,5.2
12,"Younger","30",3.4,4.33333333333333,3,4.6,4.5,4.5,4.66666666666667,4,3.66666666666667
13,"Older","66",6.66666666666667,2,5.2,6,2.83333333333333,4.83333333333333,6.25,2.25,5.5
14,"Older","73",6.4,1.4,5,5,2.4,4.33333333333333,4.8,1.66666666666667,4.33333333333333
15,"Older","70",6,1.5,5,4.8,3,4.6,5.4,2,4.75
16,"Younger","37",6,2.25,5.33333333333333,4.33333333333333,4,5.4,5.25,3.5,4.4
17,"Older","70",5.8,1.5,5.8,5,3,5.33333333333333,5.8,2.5,5.8
18,"Middle Age","52",7,2.2,6.83333333333333,6.75,1.66666666666667,5.4,6.4,3,5.25
19,"Middle Age","50",7,2.75,5.4,6,2.75,4.2,6.25,2.8,4.66666666666667
20,"Older","71",5.6,2.66666666666667,5.5,5,3,5,5.66666666666667,3,5
21,"Older","68",6.2,1.2,5.5,5,2.5,4.8,5.5,2.66666666666667,5.33333333333333
22,"Younger","35",7,7,7,6.25,7,6.33333333333333,7,6.16666666666667,6.83333333333333
23,"Older","73",4,4,4,4.6,3.75,3.8,4,3,4.16666666666667
24,"Younger","26",4.2,4.75,5.5,3.6,4.2,4,4.5,3.8,4.6
25,"Older","64",6.2,1.8,5.8,6,2.4,5.66666666666667,5.8,2,5.75
26,"Older","74",6,2.16666666666667,5.66666666666667,5,3,5.25,5.16666666666667,2.2,5.16666666666667
27,"Middle Age","43",5.75,1.16666666666667,4.5,5,3,4.16666666666667,5.75,1.8,4.5
28,"Middle Age","47",4.25,3.4,4.5,4,4,4,4,3,4
29,"Younger","35",6.75,3.6,5.8,6.4,4.83333333333333,6.2,6.6,3.75,5.6
30,"Older","68",4.8,1.5,5,4.83333333333333,2.8,4.4,5.8,1.66666666666667,5.25
31,"Younger","38",6.8,1.2,6.5,5.5,1.75,5.33333333333333,6.83333333333333,1.66666666666667,6
32,"Older","70",6.33333333333333,1.5,5.25,4.6,2.75,4.66666666666667,5.33333333333333,2.75,4.83333333333333
33,"Older","66",7,1.2,6.75,6.33333333333333,2,5.83333333333333,6.5,1.75,6.2
34,"Middle Age","54",7,1,6.66666666666667,6.66666666666667,1,6.5,7,1,6.4
35,"Younger","38",6.25,2,6.33333333333333,5,2.8,5.8,5.83333333333333,2,6.2
36,"Older","66",6.75,1.6,6.4,4.5,2.83333333333333,4.75,6,1.8,5
37,"Middle Age","50",7,1,7,6.8,1.16666666666667,6.83333333333333,7,1.4,7
38,"Middle Age","47",5.5,1.25,4.8,5.8,1.4,3.6,5.83333333333333,1.75,4.2
39,"Middle Age","58",6.8,2.16666666666667,5.33333333333333,6.25,3.2,4.66666666666667,6.8,3,6
40,"Middle Age","48",5.66666666666667,2.5,5.8,4.83333333333333,4,5.5,5.75,2.4,5.5
41,"Older","68",4.25,3,4.4,4.2,3.66666666666667,4.66666666666667,4.6,3,5
42,"Older","75",4,2.4,4.33333333333333,4.33333333333333,3.2,4.5,4.5,2.75,5
43,"Older","71",4,2.66666666666667,4,4.4,2.75,4,4,3,4
44,"Younger","30",4,4,4,4.33333333333333,4,4,4,4,4
45,"Middle Age","56",5,3,5,4.75,3.2,4.75,5.2,3.33333333333333,4.8
46,"Middle Age","40",6,1.33333333333333,5.75,4.83333333333333,2,5.16666666666667,5.33333333333333,2.6,6.25
47,"Younger","33",4.83333333333333,2.4,5.33333333333333,4.33333333333333,4.5,4.8,5,3,5.2
48,"Middle Age","48",6.66666666666667,1.4,5.66666666666667,4.5,3,4.66666666666667,5.8,2.75,5.66666666666667
49,"Younger","30",4,4,4,4.2,4.6,4.25,4.75,3.8,4.5
