"subnum","agegrp","age","a.full","h.full","s.full","a.low","h.low","s.low","a.med","h.med","s.med"
1,"Older",70,6.16666666666667,1.5,6.83333333333333,5.5,4.33333333333333,6.5,6.66666666666667,2.33333333333333,6.83333333333333
2,"Middle Age",53,5.66666666666667,5.16666666666667,6,5.83333333333333,5.66666666666667,6.16666666666667,5.66666666666667,5,5.5
3,"Younger",29,6.16666666666667,1.16666666666667,5.66666666666667,5.33333333333333,2.66666666666667,6.16666666666667,5.83333333333333,1.83333333333333,6.5
4,"Older",62,6.83333333333333,1.33333333333333,5.66666666666667,5.5,2.66666666666667,5,6.83333333333333,1.16666666666667,6.66666666666667
5,"Younger",39,6.66666666666667,1.16666666666667,6.33333333333333,6.16666666666667,3.66666666666667,6.16666666666667,6,1.66666666666667,6.33333333333333
6,"Younger",27,4,4,4.16666666666667,4,4,4,4,4,4
7,"Middle Age",55,1.83333333333333,2.16666666666667,3,3.66666666666667,6,5.5,2.66666666666667,2.66666666666667,4.5
8,"Younger",28,4,2.66666666666667,3.16666666666667,3.16666666666667,3.33333333333333,4.16666666666667,3.66666666666667,4,3.33333333333333
9,"Middle Age",42,5.16666666666667,3.5,6,4.5,4.83333333333333,4.66666666666667,3.33333333333333,3.66666666666667,4
10,"Middle Age",48,2.83333333333333,3.5,2.66666666666667,3.5,4.16666666666667,4,2.5,5,4.16666666666667
11,"Younger",35,2.66666666666667,2.66666666666667,3.33333333333333,1.5,1.66666666666667,2,3,2.83333333333333,2.66666666666667
12,"Older",68,6.66666666666667,4.33333333333333,6.5,5.66666666666667,4.83333333333333,5.66666666666667,6.5,4.33333333333333,6.16666666666667
13,"Older",66,5.16666666666667,2.83333333333333,5.16666666666667,3.83333333333333,3.5,5.83333333333333,5.33333333333333,3.16666666666667,4.83333333333333
14,"Older",62,3.66666666666667,4,5.16666666666667,5.5,4.33333333333333,4.83333333333333,4.83333333333333,4.16666666666667,4.66666666666667
15,"Younger",21,3.33333333333333,2.83333333333333,2.66666666666667,2.66666666666667,3.33333333333333,2.5,2.5,2.83333333333333,2.33333333333333
16,"Younger",26,4.66666666666667,3.66666666666667,3,2.5,4.83333333333333,3.33333333333333,3.5,4.5,3.83333333333333
17,"Older",65,7,7,7,7,7,7,7,7,7
18,"Middle Age",47,7,6.83333333333333,7,6.83333333333333,6.83333333333333,7,7,6.66666666666667,6.5
19,"Middle Age",42,5.66666666666667,4,5.5,5.83333333333333,4.5,5.83333333333333,5.83333333333333,4.66666666666667,6.33333333333333
20,"Older",67,6.83333333333333,1.33333333333333,6,5.16666666666667,1.83333333333333,5.5,7,1.5,6.33333333333333
21,"Younger",23,5.16666666666667,2.16666666666667,5.33333333333333,3.83333333333333,3.66666666666667,4.5,5.5,3,5.16666666666667
22,"Younger",28,6.66666666666667,1,5.33333333333333,5.83333333333333,1.83333333333333,5.16666666666667,6,1.83333333333333,4.66666666666667
23,"Older",69,1.5,1.33333333333333,2.5,3.5,3.33333333333333,3.83333333333333,2.66666666666667,2.66666666666667,4
24,"Older",65,1,1.16666666666667,1.66666666666667,3.16666666666667,3.5,4.66666666666667,2.66666666666667,2,4
25,"Middle Age",42,6.83333333333333,1,6,6,1,7,7,1,7
26,"Older",66,2.83333333333333,1.33333333333333,3.5,5.16666666666667,4,5.83333333333333,3.5,1.83333333333333,4.66666666666667
27,"Middle Age",55,3,2.16666666666667,5.33333333333333,3.16666666666667,1.83333333333333,6.16666666666667,4.83333333333333,2.16666666666667,5.83333333333333
28,"Older",78,4.83333333333333,4.5,4.83333333333333,4.83333333333333,5,5,4.83333333333333,4.83333333333333,4.83333333333333
29,"Younger",39,6.66666666666667,4.16666666666667,6.66666666666667,5,5,6.16666666666667,6.83333333333333,5,7
30,"Younger",30,2.16666666666667,1.33333333333333,3.5,5.5,4.16666666666667,6,3.33333333333333,2.5,4.66666666666667
31,"Younger",36,3.33333333333333,3.83333333333333,3.5,4,3.66666666666667,4.16666666666667,3.83333333333333,3.33333333333333,4.33333333333333
32,"Middle Age",51,4.16666666666667,4.5,4,4.16666666666667,4.33333333333333,4,4.33333333333333,3.83333333333333,3.83333333333333
33,"Older",72,3.66666666666667,3,3.5,3.33333333333333,3.66666666666667,3.66666666666667,3.33333333333333,3.66666666666667,3.83333333333333
34,"Middle Age",41,5.16666666666667,1,5.16666666666667,4.16666666666667,2.33333333333333,4.33333333333333,4.66666666666667,2.33333333333333,5.83333333333333
35,"Middle Age",52,3.66666666666667,2.66666666666667,4.16666666666667,2.83333333333333,3.83333333333333,3.83333333333333,3,3.5,5
36,"Middle Age",53,3.83333333333333,3.83333333333333,3.83333333333333,4,3.83333333333333,3.66666666666667,4,4,4
37,"Younger",33,6.66666666666667,6,7,7,7,7,7,6.16666666666667,6.66666666666667
38,"Younger",28,6.66666666666667,1,5.5,5.5,1.83333333333333,5.66666666666667,6.5,2,6
39,"Younger",38,1,3.5,1,2,3,2,1,3,1
40,"Younger",38,5.33333333333333,5.16666666666667,5,4.83333333333333,6,5.5,6,5.16666666666667,4.33333333333333
41,"Older",67,5.16666666666667,4.16666666666667,5.66666666666667,4.83333333333333,3.33333333333333,5.16666666666667,5,3.5,5
42,"Middle Age",40,7,1.5,7,5.66666666666667,1.5,5.66666666666667,6,2,5.83333333333333
43,"Middle Age",55,2,2,2.33333333333333,3.33333333333333,3,3.16666666666667,2.33333333333333,2.5,2.83333333333333
44,"Older",75,7,1.16666666666667,6,4.83333333333333,2.16666666666667,5.83333333333333,6.5,1.5,5.16666666666667
45,"Younger",32,6,4.83333333333333,5,4,4,4.5,5,4.33333333333333,5.16666666666667
46,"Younger",22,7,7,6,6.5,6,6,6.5,6.5,6.5
47,"Older",76,1.5,1.83333333333333,4,3.16666666666667,3.5,4,2.16666666666667,2.83333333333333,3.16666666666667
48,"Middle Age",43,5.16666666666667,5,5.16666666666667,5,5,5.5,5.33333333333333,4.83333333333333,5.66666666666667
49,"Middle Age",40,7,7,7,7,7,7,7,7,7
50,"Older",72,5,4.83333333333333,6,5.5,5,6.16666666666667,5.66666666666667,5,6
51,"Younger",27,6.33333333333333,4.16666666666667,5.5,3.66666666666667,4.5,4.83333333333333,5,4.83333333333333,5.33333333333333
52,"Older",78,1.33333333333333,1,2.16666666666667,2.16666666666667,2.5,3.33333333333333,1.16666666666667,1.66666666666667,2.5
53,"Older",60,5.66666666666667,5.66666666666667,5.33333333333333,6,6.33333333333333,6.66666666666667,5.83333333333333,4.5,6.66666666666667
54,"Middle Age",56,5.83333333333333,4.66666666666667,5.83333333333333,5.5,5,5,6,4,6.33333333333333
55,"Older",67,6.66666666666667,6.5,6.83333333333333,6.66666666666667,6.83333333333333,7,6.66666666666667,6.5,7
56,"Middle Age",55,3.66666666666667,3.5,3.66666666666667,3.66666666666667,3.83333333333333,4.16666666666667,4.16666666666667,3.83333333333333,4
57,"Middle Age",53,4.5,3,5.66666666666667,5.16666666666667,3.33333333333333,4.33333333333333,4.33333333333333,3.5,4.5
58,"Younger",39,6,1,5.66666666666667,6,3.83333333333333,3.83333333333333,5.33333333333333,3,6.16666666666667
59,"Younger",39,4.5,2.83333333333333,4.33333333333333,3.66666666666667,4.33333333333333,3.83333333333333,3.66666666666667,3.33333333333333,3.83333333333333
60,"Older",71,4,4,4,4,4,4,4,4,4
61,"Older",70,3.33333333333333,4.83333333333333,2.5,4.33333333333333,3.5,4.5,3.66666666666667,4.33333333333333,3
62,"Older",63,6,2.66666666666667,4.5,5.33333333333333,3.66666666666667,5,5.83333333333333,3.33333333333333,5
63,"Older",71,4.33333333333333,3.5,4.5,4.33333333333333,4.33333333333333,5.16666666666667,4.5,4,4.66666666666667
