subnum,age,variable,rating,emotion,level,domain,valence,arousal,mag,angry,sad,negative
1,29,X04_a_full_arsl,NA,a,full,arsl,NA,NA,3,1,0,1
2,53,X04_a_full_arsl,NA,a,full,arsl,4,NA,3,1,0,1
3,67,X04_a_full_arsl,2,a,full,arsl,2,2,3,1,0,1
4,40,X04_a_full_arsl,2,a,full,arsl,2,2,3,1,0,1
5,60,X04_a_full_arsl,4,a,full,arsl,3,4,3,1,0,1
6,60,X04_a_full_arsl,2,a,full,arsl,2,2,3,1,0,1
7,61,X04_a_full_arsl,NA,a,full,arsl,4,NA,3,1,0,1
8,76,X04_a_full_arsl,NA,a,full,arsl,NA,NA,3,1,0,1
9,71,X04_a_full_arsl,3,a,full,arsl,3,3,3,1,0,1
10,25,X04_a_full_arsl,3,a,full,arsl,2,3,3,1,0,1
11,66,X04_a_full_arsl,2,a,full,arsl,3,2,3,1,0,1
12,30,X04_a_full_arsl,NA,a,full,arsl,3,NA,3,1,0,1
13,66,X04_a_full_arsl,5,a,full,arsl,NA,5,3,1,0,1
14,73,X04_a_full_arsl,3,a,full,arsl,2,3,3,1,0,1
15,70,X04_a_full_arsl,NA,a,full,arsl,NA,NA,3,1,0,1
16,37,X04_a_full_arsl,2,a,full,arsl,2,2,3,1,0,1
17,70,X04_a_full_arsl,3,a,full,arsl,3,3,3,1,0,1
18,52,X04_a_full_arsl,6,a,full,arsl,NA,6,3,1,0,1
19,50,X04_a_full_arsl,NA,a,full,arsl,NA,NA,3,1,0,1
20,71,X04_a_full_arsl,2,a,full,arsl,3,2,3,1,0,1
21,68,X04_a_full_arsl,5,a,full,arsl,3,5,3,1,0,1
22,35,X04_a_full_arsl,NA,a,full,arsl,NA,NA,3,1,0,1
23,73,X04_a_full_arsl,NA,a,full,arsl,NA,NA,3,1,0,1
24,26,X04_a_full_arsl,5,a,full,arsl,3,5,3,1,0,1
25,64,X04_a_full_arsl,NA,a,full,arsl,NA,NA,3,1,0,1
26,74,X04_a_full_arsl,4,a,full,arsl,NA,4,3,1,0,1
27,43,X04_a_full_arsl,NA,a,full,arsl,3,NA,3,1,0,1
28,47,X04_a_full_arsl,5,a,full,arsl,4,5,3,1,0,1
29,35,X04_a_full_arsl,NA,a,full,arsl,NA,NA,3,1,0,1
30,68,X04_a_full_arsl,NA,a,full,arsl,3,NA,3,1,0,1
31,38,X04_a_full_arsl,NA,a,full,arsl,NA,NA,3,1,0,1
32,70,X04_a_full_arsl,NA,a,full,arsl,NA,NA,3,1,0,1
33,66,X04_a_full_arsl,NA,a,full,arsl,NA,NA,3,1,0,1
34,54,X04_a_full_arsl,NA,a,full,arsl,NA,NA,3,1,0,1
35,38,X04_a_full_arsl,6,a,full,arsl,2,6,3,1,0,1
36,66,X04_a_full_arsl,NA,a,full,arsl,NA,NA,3,1,0,1
37,50,X04_a_full_arsl,NA,a,full,arsl,NA,NA,3,1,0,1
38,47,X04_a_full_arsl,3,a,full,arsl,2,3,3,1,0,1
39,58,X04_a_full_arsl,6,a,full,arsl,2,6,3,1,0,1
