"subnum","agegrp","age","domain","a.full","h.full","s.full","a.low","h.low","s.low","a.med","h.med","s.med"
1,"Younger",29,"arsl",3,2,2,3.66666666666667,2.8,2.8,2,3,3
1,"Younger",29,"vln",2.75,2.4,2,4,3.4,3,2.66666666666667,2.8,3
2,"Middle Age",53,"arsl",2,NA,5,3.25,3,NA,3,3,3
2,"Middle Age",53,"vln",3.75,4.75,4,2.66666666666667,5.33333333333333,4,4,5.5,3.6
3,"Older",67,"arsl",2.75,2.5,2.33333333333333,5,3.5,3,3,3.5,2
3,"Older",67,"vln",2,6.2,3,2.25,4.83333333333333,3,2,5.5,3
4,"Middle Age",40,"arsl",2.16666666666667,5.8,2.5,3,5,3.33333333333333,2.66666666666667,5.25,2.4
4,"Middle Age",40,"vln",2.6,6.2,2.33333333333333,2.33333333333333,5.4,2.75,2.5,5.25,2.2
5,"Older",60,"arsl",3.33333333333333,4.5,4,3,4.75,3.25,4,4.33333333333333,3
5,"Older",60,"vln",3.8,4.75,3.75,3,4.75,3.75,3.4,5.33333333333333,2.33333333333333
6,"Older",60,"arsl",2.6,6,2.16666666666667,2.75,6,3.66666666666667,2.25,6,3
6,"Older",60,"vln",2.75,7,2,2.25,6.6,3,2,7,2.2
7,"Older",61,"arsl",4,5.6,4.75,2.75,2.2,3,3.5,3.8,4.2
7,"Older",61,"vln",2.66666666666667,6.4,3.25,3.8,3.8,3.25,3.4,4.6,3.2
8,"Older",76,"arsl",6,NA,5,5.33333333333333,6,5.5,6,NA,NA
8,"Older",76,"vln",NA,7,3,2.4,6.66666666666667,2.5,2,6.83333333333333,2
9,"Older",71,"arsl",3,3.75,3,2.83333333333333,3.75,2.8,2.66666666666667,3.33333333333333,3
9,"Older",71,"vln",2.66666666666667,6.25,2.33333333333333,2.66666666666667,6,2.33333333333333,2.5,6,2.25
10,"Younger",25,"arsl",2.4,4.25,2.25,2.5,4,2.5,2,4,2.33333333333333
10,"Younger",25,"vln",2.2,5.75,2.25,2.75,5.2,2.66666666666667,2.4,5.4,2.33333333333333
11,"Older",66,"arsl",2,3.2,2.5,2,3.4,2,2,3,2
11,"Older",66,"vln",3,5.2,2.66666666666667,3,5,2.83333333333333,3,5,2.8
12,"Younger",30,"arsl",6,5,4.33333333333333,2.66666666666667,6,5.33333333333333,4.33333333333333,NA,4.66666666666667
12,"Younger",30,"vln",4.6,3.66666666666667,5,4,4,3.5,4.5,4,4.33333333333333
13,"Older",66,"arsl",5.5,5.75,4.2,5.2,5.33333333333333,4.33333333333333,5.5,5.75,5.25
13,"Older",66,"vln",2,6,2.8,2.66666666666667,5.16666666666667,3.16666666666667,2,5.75,2.5
14,"Older",73,"arsl",3.6,5.6,3.33333333333333,3.16666666666667,4.4,4,3.8,5.33333333333333,4
14,"Older",73,"vln",2,6.6,3.4,3,5.6,3.66666666666667,3.2,6.33333333333333,3.66666666666667
15,"Older",70,"arsl",4,5.66666666666667,3,3.8,4.5,3.2,3.66666666666667,5.5,3.25
15,"Older",70,"vln",2.25,6.5,3,3.2,5,3.4,3.66666666666667,6,3.25
16,"Younger",37,"arsl",2.33333333333333,5.25,4.4,4,4,2.8,3.25,3.75,3
16,"Younger",37,"vln",2,5.75,2.66666666666667,3.66666666666667,4,2.6,2.75,4.5,3.6
17,"Older",70,"arsl",2.4,5.66666666666667,2.4,3.2,5,3,2.25,5,2.6
17,"Older",70,"vln",2.2,6.5,2.2,3,5,2.66666666666667,2.2,5.5,2.2
18,"Middle Age",52,"arsl",6,5.5,5.75,5.66666666666667,4.75,4.75,5.33333333333333,6,4.66666666666667
18,"Middle Age",52,"vln",NA,5.8,2,2,6.33333333333333,3,2.5,6,4.5
19,"Middle Age",50,"arsl",5,4.33333333333333,3,2.8,4.25,3.8,3,5.2,3.33333333333333
19,"Middle Age",50,"vln",NA,5.25,3,3,5.25,3.8,2,5.2,3.33333333333333
20,"Older",71,"arsl",2,5.66666666666667,2.5,2.75,5.5,2.8,2.4,5,3
20,"Older",71,"vln",2.4,5.33333333333333,2.5,3,5,3,2.33333333333333,5,3
21,"Older",68,"arsl",5.4,5.75,3.75,4.5,4.33333333333333,4.6,5,5.33333333333333,4.25
