"subnum","agegrp","age","domain","a.full","h.full","lose.full","s.full","win.full","a.low","h.low","lose.low","s.low","win.low","a.med","h.med","lose.med","s.med","win.med"
1,"Older",68,"arsl",4.66666666666667,4.16666666666667,1,4.16666666666667,1,4.33333333333333,4,1,4.16666666666667,1,4.66666666666667,4.16666666666667,4,4.16666666666667,1
1,"Older",68,"vln",2,7,4,2.83333333333333,4,2.66666666666667,5.5,4,3.66666666666667,4,2.33333333333333,6.16666666666667,4,3.33333333333333,4
2,"Older",73,"arsl",2,2.16666666666667,4,2,4,1.83333333333333,2,4,1.66666666666667,4,1.66666666666667,2,4,2,4
2,"Older",73,"vln",1.5,1.83333333333333,5,1.83333333333333,5,1.5,1.66666666666667,5,1.83333333333333,6,2,1.66666666666667,4,1.66666666666667,4
3,"Older",79,"arsl",5.16666666666667,6.16666666666667,3,5.66666666666667,2,4.33333333333333,5.5,2,4.16666666666667,3,5.66666666666667,5.83333333333333,4,5.16666666666667,3
3,"Older",79,"vln",2.16666666666667,4,5,1.5,5,2.66666666666667,6.33333333333333,5,2.83333333333333,5,2,6.66666666666667,5,1.66666666666667,6
4,"Older",77,"arsl",4,3.66666666666667,2,3.83333333333333,4,3.83333333333333,3.66666666666667,1,3.5,4,2.83333333333333,3.66666666666667,4,3.66666666666667,4
4,"Older",77,"vln",2.83333333333333,5,2,3.16666666666667,5,3.16666666666667,4.5,3,3.83333333333333,5,3.16666666666667,4.5,3,3.5,5
5,"Older",69,"arsl",1.66666666666667,2.83333333333333,4,3.5,4,1.66666666666667,3.66666666666667,3,3.66666666666667,3,1.83333333333333,3.83333333333333,1,3,3
5,"Older",69,"vln",2.33333333333333,3.66666666666667,4,4,4,2.16666666666667,4.16666666666667,4,3.66666666666667,5,2.83333333333333,4,3,3.5,4
6,"Older",73,"arsl",1,1,4,1,4,1,1,4,1,5,1,1,1,1,3
6,"Older",73,"vln",3.83333333333333,3.5,3,3.66666666666667,5,3.83333333333333,3.83333333333333,3,3.83333333333333,5,3.66666666666667,3.83333333333333,3,3.66666666666667,4
7,"Older",74,"arsl",5.66666666666667,6.16666666666667,6,6,7,3.66666666666667,4,5,4.5,5,5.83333333333333,4.5,7,4.5,7
7,"Older",74,"vln",1.66666666666667,6.66666666666667,4,2.83333333333333,7,2.5,5.33333333333333,4,3.5,5,1.5,5.16666666666667,2,3.66666666666667,7
8,"Older",76,"arsl",1.16666666666667,6.5,4,2.16666666666667,5,1.83333333333333,4,3,1.83333333333333,4,1.66666666666667,5.33333333333333,4,1.66666666666667,6
8,"Older",76,"vln",2.5,7,2,3.16666666666667,6,3.33333333333333,5.5,3,3.66666666666667,6,2.5,6.16666666666667,2,3.83333333333333,7
