"subnum","agegrp","age","domain","lose.full","lose.low","lose.med","win.full","win.low","win.med"
1,"Older",68,"arsl",1,1,4,1,1,1
1,"Older",68,"vln",4,4,4,4,4,4
2,"Older",73,"arsl",4,4,4,4,4,4
2,"Older",73,"vln",5,5,4,5,6,4
3,"Older",79,"arsl",3,2,4,2,3,3
3,"Older",79,"vln",5,5,5,5,5,6
4,"Older",77,"arsl",2,1,4,4,4,4
4,"Older",77,"vln",2,3,3,5,5,5
5,"Older",69,"arsl",4,3,1,4,3,3
5,"Older",69,"vln",4,4,3,4,5,4
6,"Older",73,"arsl",4,4,1,4,5,3
6,"Older",73,"vln",3,3,3,5,5,4
7,"Older",74,"arsl",6,5,7,7,5,7
7,"Older",74,"vln",4,4,2,7,5,7
8,"Older",76,"arsl",4,3,4,5,4,6
8,"Older",76,"vln",2,3,2,6,6,7
9,"Older",71,"arsl",4,4,4,4,4,4
9,"Older",71,"vln",2,3,3,6,4,3
10,"Older",69,"arsl",3,3,3,3,4,4
10,"Older",69,"vln",3,4,2,4,5,5
11,"Older",68,"arsl",1,1,1,4,1,3
11,"Older",68,"vln",4,4,4,4,4,4
12,"Older",69,"arsl",1,1,1,7,7,7
12,"Older",69,"vln",1,1,1,1,7,7
13,"Older",70,"arsl",1,1,4,3,1,1
13,"Older",70,"vln",4,4,4,4,4,4
14,"Older",74,"arsl",5,5,7,5,6,7
14,"Older",74,"vln",1,1,1,7,7,7
15,"Older",67,"arsl",7,5,1,7,7,7
15,"Older",67,"vln",1,3,1,7,7,7
16,"Older",72,"arsl",5,3,4,5,4,4
16,"Older",72,"vln",3,4,4,4,5,4
17,"Older",79,"arsl",6,4,4,5,6,6
17,"Older",79,"vln",3,3,3,7,7,7
18,"Older",70,"arsl",1,1,1,4,4,4
18,"Older",70,"vln",2,3,3,6,5,4
19,"Older",69,"arsl",7,7,7,7,7,7
19,"Older",69,"vln",1,1,1,7,7,7
20,"Middle Age",60,"arsl",1,1,2,6,6,6
20,"Middle Age",60,"vln",2,2,2,6,6,6
21,"Younger",25,"arsl",3,3,1,4,5,2
21,"Younger",25,"vln",5,3,5,4,3,3
22,"Middle Age",46,"arsl",4,2,3,6,6,6
22,"Middle Age",46,"vln",1,3,2,7,7,6
23,"Older",69,"arsl",5,4,5,5,5,5
23,"Older",69,"vln",2,3,3,6,6,6
24,"Older",62,"arsl",7,5,6,7,7,7
24,"Older",62,"vln",1,2,1,7,7,7
25,"Older",80,"arsl",6,1,3,6,5,7
25,"Older",80,"vln",2,5,3,6,5,6
26,"Older",79,"arsl",6,3,6,6,7,7
26,"Older",79,"vln",1,3,2,7,7,7
27,"Older",68,"arsl",4,3,3,4,4,3
27,"Older",68,"vln",3,4,4,5,5,4
28,"Older",64,"arsl",7,5,6,4,7,7
28,"Older",64,"vln",1,1,1,5,7,7
29,"Younger",36,"arsl",6,4,5,6,5,5
29,"Younger",36,"vln",6,5,6,7,7,7
30,"Older",67,"arsl",2,2,3,2,3,2
30,"Older",67,"vln",5,4,2,3,5,2
31,"Older",80,"arsl",1,2,1,7,7,7
31,"Older",80,"vln",1,2,1,7,7,7
32,"Older",80,"arsl",5,4,3,5,5,6
32,"Older",80,"vln",5,3,3,5,6,5
33,"Older",72,"arsl",3,3,3,3,3,2
33,"Older",72,"vln",4,3,5,4,4,4
34,"Older",66,"arsl",1,1,1,1,1,1
34,"Older",66,"vln",1,1,1,5,6,6
35,"Older",74,"arsl",5,1,1,7,7,6
