"subnum","agegrp","age","domain","a.full","h.full","s.full","a.low","h.low","s.low","a.med","h.med","s.med"
1,"Older",68,"arsl",4.66666666666667,4.16666666666667,4.16666666666667,4.33333333333333,4,4.16666666666667,4.66666666666667,4.16666666666667,4.16666666666667
1,"Older",68,"vln",2,7,2.83333333333333,2.66666666666667,5.5,3.66666666666667,2.33333333333333,6.16666666666667,3.33333333333333
2,"Older",73,"arsl",2,2.16666666666667,2,1.83333333333333,2,1.66666666666667,1.66666666666667,2,2
2,"Older",73,"vln",1.5,1.83333333333333,1.83333333333333,1.5,1.66666666666667,1.83333333333333,2,1.66666666666667,1.66666666666667
3,"Older",79,"arsl",5.16666666666667,6.16666666666667,5.66666666666667,4.33333333333333,5.5,4.16666666666667,5.66666666666667,5.83333333333333,5.16666666666667
3,"Older",79,"vln",2.16666666666667,4,1.5,2.66666666666667,6.33333333333333,2.83333333333333,2,6.66666666666667,1.66666666666667
4,"Older",77,"arsl",4,3.66666666666667,3.83333333333333,3.83333333333333,3.66666666666667,3.5,2.83333333333333,3.66666666666667,3.66666666666667
4,"Older",77,"vln",2.83333333333333,5,3.16666666666667,3.16666666666667,4.5,3.83333333333333,3.16666666666667,4.5,3.5
5,"Older",69,"arsl",1.66666666666667,2.83333333333333,3.5,1.66666666666667,3.66666666666667,3.66666666666667,1.83333333333333,3.83333333333333,3
5,"Older",69,"vln",2.33333333333333,3.66666666666667,4,2.16666666666667,4.16666666666667,3.66666666666667,2.83333333333333,4,3.5
6,"Older",73,"arsl",1,1,1,1,1,1,1,1,1
6,"Older",73,"vln",3.83333333333333,3.5,3.66666666666667,3.83333333333333,3.83333333333333,3.83333333333333,3.66666666666667,3.83333333333333,3.66666666666667
7,"Older",74,"arsl",5.66666666666667,6.16666666666667,6,3.66666666666667,4,4.5,5.83333333333333,4.5,4.5
7,"Older",74,"vln",1.66666666666667,6.66666666666667,2.83333333333333,2.5,5.33333333333333,3.5,1.5,5.16666666666667,3.66666666666667
8,"Older",76,"arsl",1.16666666666667,6.5,2.16666666666667,1.83333333333333,4,1.83333333333333,1.66666666666667,5.33333333333333,1.66666666666667
