,,,,,,,,,,,,,,,,,screen1,screen2,age,sex,education,race,income,health,example_arousal_scale,example_valence_scale,04_a_low_arsl,04_a_low_vln,04_a_full_arsl,04_a_full_vln,04_a_med_arsl,04_a_med_vln,04_h_full_arsl,04_h_full_vln,04_h_low_arsl,04_h_low_vln,04_h_med_arsl,04_h_med_vln,04_s_full_arsl,04_s_full_vln,04_s_low_arsl,04_s_low_vln,04_s_med_arsl,04_s_med_vln,116_a_full_arsl,116_a_full_vln,116_a_low_arsl,116_a_low_vln,116_a_med_arsl,116_a_med_vln,116_h_full_arsl,116_h_full_vln,116_h_low_arsl,116_h_low_vln,116_h_med_arsl,116_h_med_vln,116_s_full_arsl,116_s_full_vln,116_s_low_arsl,116_s_low_vln,116_s_med_arsl,116_s_med_vln,133_a_full_arsl,133_a_full_vln,133_a_low_arsl,133_a_low_vln,133_a_med_arsl,133_a_med_vln,133_h_full_arsl,133_h_full_vln,133_h_low_arsl,133_h_low_vln,133_h_med_arsl,133_h_med_vln,133_s_full_arsl,133_s_full_vln,133_s_low_arsl,133_s_low_vln,133_s_med_arsl,133_s_med_vln,49_a_full_arsl,49_a_full_vln,49_a_low_arsl,49_a_low_vln,49_a_med_arsl,49_a_med_vln,49_h_full_arsl,49_h_full_vln,49_h_low_arsl,49_h_low_vln,49_h_med_arsl,49_h_med_vln,49_s_full_arsl,49_s_full_vln,49_s_low_arsl,49_s_low_vln,49_s_med_arsl,49_s_med_vln,69_a_full_arsl,69_a_full_vln,69_a_low_arsl,69_a_low_vln,69_a_med_arsl,69_a_med_vln,69_h_full_arsl,69_h_full_vln,69_h_low_arsl,69_h_low_vln,69_h_med_arsl,69_h_med_vln,69_s_full_arsl,69_s_full_vln,69_s_low_arsl,69_s_low_vln,69_s_med_arsl,69_s_med_vln,113_a_full_arsl,113_a_full_vln,113_a_low_arsl,113_a_low_vln,113_a_med_arsl,113_a_med_vln,113_h_full_arsl,113_h_full_vln,113_h_low_arsl,113_h_low_vln,113_h_med_arsl,113_h_med_vln,113_s_full_arsl,113_s_full_vln,113_s_low_arsl,113_s_low_vln,113_s_med_arsl,113_s_med_vln,,,,,,
StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q383,Q385,Q387,Q389,Q391,Q393,Q395,Q397,Q331,Q336,Q17,Q19,Q20,Q337,Q25,Q27,Q26,Q28,Q31,Q33,Q36,Q38,Q43,Q45,Q47,Q49,Q51,Q53,Q93,Q95,Q98,Q100,Q103,Q105,Q108,Q110,Q113,Q115,Q118,Q120,Q123,Q125,Q128,Q130,Q133,Q135,Q183,Q185,Q190,Q192,Q195,Q197,Q201,Q203,Q206,Q208,Q211,Q213,Q216,Q218,Q221,Q223,Q226,Q228,Q186,Q188,Q191,Q193,Q196,Q198,Q203,Q205,Q207,Q209,Q211,Q213,Q179,Q181,Q184,Q186,Q189,Q191,Q194,Q196,Q199,Q201,Q204,Q206,Q209,Q211,Q214,Q216,Q219,Q221,Q224,Q226,Q229,Q231,Q234,Q236,Q348,Q350,Q353,Q355,Q358,Q360,Q357,Q359,Q363,Q365,Q368,Q370,Q375,Q377,Q374,Q376,Q379,Q381,opp,rid,RISN,V,gc,term
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Are you currently experiencing or have you previously experienced any psychological health issues (for example, depression, bipolar, anxiety, OCD, ADD/ADHD, eating disorder, addiction, etc.)?","Are you currently experiencing or have you previously experienced any neurological health issues (for example, seizure, stroke, dementia, Alzheimer's, Parkinson's, etc.)?",What is your age?,Are you male or female?,What is the highest level of education you've completed?,What is your race/ethnicity?,"What was your total household income last year?  (If a student, select your approximate family income)",How do you feel about your general physical health these days?,Q331,Q336,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,Arousal Rating,Valence Rating,opp,rid,RISN,V,gc,term
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID413""}","{""ImportId"":""QID414""}","{""ImportId"":""QID415""}","{""ImportId"":""QID416""}","{""ImportId"":""QID417""}","{""ImportId"":""QID418""}","{""ImportId"":""QID419""}","{""ImportId"":""QID420""}","{""ImportId"":""QID361""}","{""ImportId"":""QID365""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID25""}","{""ImportId"":""QID367""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID134""}","{""ImportId"":""QID135""}","{""ImportId"":""QID138""}","{""ImportId"":""QID139""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID144""}","{""ImportId"":""QID145""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID153""}","{""ImportId"":""QID154""}","{""ImportId"":""QID191""}","{""ImportId"":""QID192""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID197""}","{""ImportId"":""QID198""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID204""}","{""ImportId"":""QID205""}","{""ImportId"":""QID206""}","{""ImportId"":""QID207""}","{""ImportId"":""QID209""}","{""ImportId"":""QID210""}","{""ImportId"":""QID212""}","{""ImportId"":""QID213""}","{""ImportId"":""QID215""}","{""ImportId"":""QID216""}","{""ImportId"":""QID218""}","{""ImportId"":""QID219""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID224""}","{""ImportId"":""QID225""}","{""ImportId"":""QID227""}","{""ImportId"":""QID228""}","{""ImportId"":""QID230""}","{""ImportId"":""QID231""}","{""ImportId"":""QID233""}","{""ImportId"":""QID234""}","{""ImportId"":""QID236""}","{""ImportId"":""QID237""}","{""ImportId"":""QID239""}","{""ImportId"":""QID240""}","{""ImportId"":""QID242""}","{""ImportId"":""QID243""}","{""ImportId"":""QID378""}","{""ImportId"":""QID379""}","{""ImportId"":""QID381""}","{""ImportId"":""QID382""}","{""ImportId"":""QID384""}","{""ImportId"":""QID385""}","{""ImportId"":""QID387""}","{""ImportId"":""QID388""}","{""ImportId"":""QID393""}","{""ImportId"":""QID394""}","{""ImportId"":""QID396""}","{""ImportId"":""QID397""}","{""ImportId"":""QID405""}","{""ImportId"":""QID406""}","{""ImportId"":""QID400""}","{""ImportId"":""QID401""}","{""ImportId"":""QID403""}","{""ImportId"":""QID404""}","{""ImportId"":""opp""}","{""ImportId"":""rid""}","{""ImportId"":""RISN""}","{""ImportId"":""V""}","{""ImportId"":""gc""}","{""ImportId"":""term""}"
8/2/18 8:01,8/2/18 8:06,Survey Preview,,100,277,TRUE,8/2/18 8:06,R_vCSPtaBCKFrVhV7,,,,,35.9954071,-78.90190125,preview,EN,,,,,,,,,1 - Very Aroused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/18 13:09,8/21/18 13:23,Survey Preview,,100,863,TRUE,8/21/18 13:23,R_7Ops7SPhlWTmxzz,,,,,37.75100708,-97.8219986,preview,EN,,,,,,,,,5,4 - Neutral,5,3 - Slightly Positive,,,3,3 - Slightly Positive,5,1 - Very Positive,,,4,4 - Neutral,,,6,2 - Moderately Positive,5,5 - Slightly Negative,7 - Not At All Aroused,1 - Very Positive,6,3 - Slightly Positive,3,6 - Moderately Negative,4,2 - Moderately Positive,7 - Not At All Aroused,3 - Slightly Positive,4,5 - Slightly Negative,,,3,3 - Slightly Positive,5,5 - Slightly Negative,6,3 - Slightly Positive,6,2 - Moderately Positive,6,5 - Slightly Negative,,,4,3 - Slightly Positive,,,4,1 - Very Positive,6,4 - Neutral,5,4 - Neutral,6,4 - Neutral,1 - Very Aroused,3 - Slightly Positive,,,,,3,,2,6 - Moderately Negative,4,5 - Slightly Negative,3,5 - Slightly Negative,5,5 - Slightly Negative,4,3 - Slightly Positive,4,2 - Moderately Positive,6,6 - Moderately Negative,,,,4 - Neutral,4,2 - Moderately Positive,,,3,5 - Slightly Negative,,,2,3 - Slightly Positive,6,1 - Very Positive,,,,,,,5,3 - Slightly Positive,4,2 - Moderately Positive,,,5,2 - Moderately Positive,,,,,,
8/29/18 11:07,8/29/18 11:12,IP Address,24.111.239.157,100,353,TRUE,8/29/18 11:12,R_2zOwvtIud6SdLyh,,,,,48.13870239,-101.3393021,anonymous,EN,No,No,29,Male,High School Diploma,White/Caucasian,"less than $10,000",3,5,3 - Slightly Positive,7 - Not At All Aroused,5 - Slightly Negative,,,6,6 - Moderately Negative,7 - Not At All Aroused,6 - Moderately Negative,6,5 - Slightly Negative,5,5 - Slightly Negative,7 - Not At All Aroused,7 - Very Negative,5,6 - Moderately Negative,5,5 - Slightly Negative,,,5,7 - Very Negative,6,6 - Moderately Negative,6,5 - Slightly Negative,3,3 - Slightly Positive,6,6 - Moderately Negative,,,7 - Not At All Aroused,5 - Slightly Negative,5,5 - Slightly Negative,5,4 - Neutral,7 - Not At All Aroused,7 - Very Negative,6,4 - Neutral,,,5,4 - Neutral,3,4 - Neutral,7 - Not At All Aroused,7 - Very Negative,6,3 - Slightly Positive,,,5,6 - Moderately Negative,4,3 - Slightly Positive,6,6 - Moderately Negative,7 - Not At All Aroused,6 - Moderately Negative,,,5,5 - Slightly Negative,,,3,6 - Moderately Negative,,,5,5 - Slightly Negative,4,4 - Neutral,6,5 - Slightly Negative,6,5 - Slightly Negative,6,5 - Slightly Negative,6,6 - Moderately Negative,6,7 - Very Negative,6,5 - Slightly Negative,5,7 - Very Negative,7 - Not At All Aroused,6 - Moderately Negative,,,6,5 - Slightly Negative,7 - Not At All Aroused,6 - Moderately Negative,6,6 - Moderately Negative,5,7 - Very Negative,6,6 - Moderately Negative,6,5 - Slightly Negative,,,Qual1827-0726Age,5b86d2a2-7851-4b3e-be93-46c649361c25,2890157,,1,
8/29/18 11:11,8/29/18 11:20,IP Address,184.98.177.173,100,491,TRUE,8/29/18 11:20,R_1dAAzWtxg1HYUjx,,,,,33.35279846,-111.7890015,anonymous,EN,No,No,53,Female,Some College,White/Caucasian,"$50,000-$59,000",Very healthy,,,6,5 - Slightly Negative,7 - Not At All Aroused,4 - Neutral,5,4 - Neutral,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,4,1 - Very Positive,7 - Not At All Aroused,4 - Neutral,,,7 - Not At All Aroused,4 - Neutral,,,4,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,3,4 - Neutral,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,5 - Slightly Negative,4,5 - Slightly Negative,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,5,1 - Very Positive,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,4 - Neutral,5,5 - Slightly Negative,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,6 - Moderately Negative,,,,,6,2 - Moderately Positive,7 - Not At All Aroused,4 - Neutral,,,,,5,5 - Slightly Negative,6,7 - Very Negative,5,4 - Neutral,7 - Not At All Aroused,4 - Neutral,,,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,,,,,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,6 - Moderately Negative,,,7 - Not At All Aroused,4 - Neutral,4,1 - Very Positive,6,1 - Very Positive,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,Qual1827-0726Age,5b86d3d3-37cb-4cd1-ae3e-df3722d16138,2890157,,1,
8/29/18 11:05,8/29/18 11:21,IP Address,98.114.250.237,100,939,TRUE,8/29/18 11:21,R_3iKisrHInvxjnJp,,,,,39.91229248,-75.15329742,anonymous,EN,No,No,67,Female,Bachelor's Degree,White/Caucasian,"$30,000-$39,000",4,,,7 - Not At All Aroused,6 - Moderately Negative,6,6 - Moderately Negative,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,2 - Moderately Positive,7 - Not At All Aroused,3 - Slightly Positive,7 - Not At All Aroused,2 - Moderately Positive,5,5 - Slightly Negative,,,6,5 - Slightly Negative,5,7 - Very Negative,3,7 - Very Negative,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,2 - Moderately Positive,3,6 - Moderately Negative,3,4 - Neutral,6,5 - Slightly Negative,6,6 - Moderately Negative,,,5,6 - Moderately Negative,2,6 - Moderately Negative,6,7 - Very Negative,7 - Not At All Aroused,2 - Moderately Positive,6,3 - Slightly Positive,7 - Not At All Aroused,2 - Moderately Positive,6,5 - Slightly Negative,7 - Not At All Aroused,4 - Neutral,,,7 - Not At All Aroused,6 - Moderately Negative,3,6 - Moderately Negative,,,6,2 - Moderately Positive,7 - Not At All Aroused,3 - Slightly Positive,6,2 - Moderately Positive,7 - Not At All Aroused,5 - Slightly Negative,3,4 - Neutral,7 - Not At All Aroused,5 - Slightly Negative,7 - Not At All Aroused,6 - Moderately Negative,,,7 - Not At All Aroused,7 - Very Negative,,,7 - Not At All Aroused,2 - Moderately Positive,,,7 - Not At All Aroused,5 - Slightly Negative,7 - Not At All Aroused,6 - Moderately Negative,,,5,6 - Moderately Negative,4,5 - Slightly Negative,4,6 - Moderately Negative,5,1 - Very Positive,7 - Not At All Aroused,2 - Moderately Positive,,,,,6,5 - Slightly Negative,7 - Not At All Aroused,5 - Slightly Negative,Qual1827-0726Age,5b86d264-5f3f-41d5-8804-f2e65c190b93,2890157,,1,
8/29/18 11:13,8/29/18 11:21,IP Address,67.53.70.26,100,498,TRUE,8/29/18 11:21,R_1eKtyUxQADeRVuX,,,,,31.15029907,-85.41139984,anonymous,EN,No,No,40,Male,Master's Degree,White/Caucasian,"$120,000-$129,999",4,2,2 - Moderately Positive,,,6,6 - Moderately Negative,6,6 - Moderately Negative,2,2 - Moderately Positive,3,3 - Slightly Positive,,,5,6 - Moderately Negative,4,6 - Moderately Negative,6,6 - Moderately Negative,6,7 - Very Negative,5,6 - Moderately Negative,5,5 - Slightly Negative,,,3,3 - Slightly Positive,,,6,6 - Moderately Negative,,,5,6 - Moderately Negative,6,5 - Slightly Negative,4,5 - Slightly Negative,6,5 - Slightly Negative,2,3 - Slightly Positive,1 - Very Aroused,3 - Slightly Positive,3,3 - Slightly Positive,4,5 - Slightly Negative,4,4 - Neutral,5,6 - Moderately Negative,5,5 - Slightly Negative,6,6 - Moderately Negative,5,5 - Slightly Negative,3,1 - Very Positive,,,3,3 - Slightly Positive,6,6 - Moderately Negative,,,6,5 - Slightly Negative,6,5 - Slightly Negative,,,5,6 - Moderately Negative,2,2 - Moderately Positive,3,3 - Slightly Positive,2,3 - Slightly Positive,6,5 - Slightly Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,,,5,6 - Moderately Negative,2,1 - Very Positive,3,1 - Very Positive,3,2 - Moderately Positive,6,6 - Moderately Negative,7 - Not At All Aroused,5 - Slightly Negative,,,Qual1827-0726Age,5b86d42f-ed3d-46af-9cc6-56df4b758a13,2890157,,1,
8/29/18 11:13,8/29/18 11:22,IP Address,47.197.115.146,100,534,TRUE,8/29/18 11:22,R_Q6pToxnWkhKArKN,,,,,27.915802,-82.22899628,anonymous,EN,No,No,60,Female,Some College,White/Caucasian,"$70,000-$79,999",3,5,4 - Neutral,6,6 - Moderately Negative,4,5 - Slightly Negative,7 - Not At All Aroused,6 - Moderately Negative,3,4 - Neutral,,,2,2 - Moderately Positive,3,5 - Slightly Negative,4,5 - Slightly Negative,5,6 - Moderately Negative,7 - Not At All Aroused,5 - Slightly Negative,,,7 - Not At All Aroused,6 - Moderately Negative,,,3,5 - Slightly Negative,4,3 - Slightly Positive,,,4,3 - Slightly Positive,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,3 - Slightly Positive,4,4 - Neutral,7 - Not At All Aroused,7 - Very Negative,4,4 - Neutral,4,4 - Neutral,5,3 - Slightly Positive,7 - Not At All Aroused,4 - Neutral,,,5,5 - Slightly Negative,6,7 - Very Negative,,,3,3 - Slightly Positive,4,3 - Slightly Positive,3,1 - Very Positive,5,5 - Slightly Negative,5,4 - Neutral,5,4 - Neutral,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,5 - Slightly Negative,5,4 - Neutral,6,4 - Neutral,,,,,4,1 - Very Positive,7 - Not At All Aroused,4 - Neutral,6,5 - Slightly Negative,,,4,3 - Slightly Positive,7 - Not At All Aroused,6 - Moderately Negative,3,4 - Neutral,3,2 - Moderately Positive,3,3 - Slightly Positive,2,2 - Moderately Positive,7 - Not At All Aroused,7 - Very Negative,,,7 - Not At All Aroused,7 - Very Negative,Qual1827-0726Age,5b86d44e-40c4-4d5a-9dfa-4399fe759583,2890157,,1,
