"subnum","agegrp","age","a.full.nat","h.full.nat","s.full.nat","a.low.nat","h.low.nat","s.low.nat","a.med.nat","h.med.nat","s.med.nat"
101,"Older",70,3.83333333333333,2.5,3.33333333333333,3.66666666666667,4.16666666666667,3.66666666666667,4.5,3.83333333333333,3.83333333333333
102,"Middle Age",53,3.33333333333333,2,3.33333333333333,2.83333333333333,2.33333333333333,3.66666666666667,3.33333333333333,2,3
103,"Younger",29,5,2.66666666666667,5,4.5,3.5,4.5,5.16666666666667,3,6
104,"Older",62,6.83333333333333,2.16666666666667,5,4.33333333333333,4.66666666666667,4.66666666666667,6.5,2.16666666666667,5.33333333333333
105,"Younger",39,3.66666666666667,4.83333333333333,3.83333333333333,3.83333333333333,4,3.66666666666667,4,4.33333333333333,4.66666666666667
106,"Younger",27,3.66666666666667,3.83333333333333,3.83333333333333,4,3.66666666666667,4,3.66666666666667,3.83333333333333,3.66666666666667
107,"Middle Age",55,3.66666666666667,2.33333333333333,4,2.83333333333333,2.66666666666667,3.83333333333333,3.66666666666667,2.16666666666667,5.16666666666667
108,"Younger",28,4.5,3,4.66666666666667,4.16666666666667,4.16666666666667,3.5,4.83333333333333,3.83333333333333,3.66666666666667
109,"Middle Age",42,4.16666666666667,5.33333333333333,5.5,4.83333333333333,5.16666666666667,4.66666666666667,4.83333333333333,4.5,4.83333333333333
110,"Middle Age",48,3.83333333333333,5.83333333333333,3.66666666666667,4.33333333333333,5.66666666666667,3.83333333333333,2.83333333333333,6.66666666666667,5.16666666666667
111,"Younger",35,3.66666666666667,3.33333333333333,3.83333333333333,3.66666666666667,3,3.83333333333333,4.5,3.66666666666667,3.5
112,"Older",68,6,4.16666666666667,5.5,4.83333333333333,3.16666666666667,5.33333333333333,6.16666666666667,3.33333333333333,5.66666666666667
113,"Older",66,5.83333333333333,3.16666666666667,5.33333333333333,4.33333333333333,3.83333333333333,5.83333333333333,5.66666666666667,4.16666666666667,5.5
114,"Older",62,5,2.5,5.16666666666667,4.66666666666667,3.16666666666667,4.33333333333333,5.16666666666667,3.5,5
115,"Younger",21,5.33333333333333,5.83333333333333,5.66666666666667,6,5.5,5.83333333333333,6,6.16666666666667,5.66666666666667
116,"Younger",26,4,3.83333333333333,4.16666666666667,6.16666666666667,5.16666666666667,4.66666666666667,5,4.16666666666667,4.5
117,"Older",65,6.66666666666667,4.5,6.16666666666667,5.16666666666667,3.16666666666667,5.16666666666667,5.66666666666667,3.33333333333333,6
118,"Middle Age",47,3,3,3,3,3.16666666666667,3,3,3,3
119,"Middle Age",42,6.16666666666667,4.5,5.5,5.83333333333333,5.33333333333333,5.83333333333333,6.16666666666667,5.33333333333333,5.66666666666667
120,"Older",67,6.83333333333333,2.83333333333333,5.33333333333333,4.66666666666667,3,4.83333333333333,6.66666666666667,3.33333333333333,5.5
121,"Younger",23,4.5,2.66666666666667,4.33333333333333,4.5,3.83333333333333,3.16666666666667,4.5,3.83333333333333,3.5
122,"Younger",28,6.33333333333333,2.16666666666667,4.83333333333333,5.33333333333333,3.83333333333333,5.33333333333333,5,3.16666666666667,3.83333333333333
123,"Older",69,5.16666666666667,2,4.83333333333333,4,3.66666666666667,4.66666666666667,5.33333333333333,3.16666666666667,5.16666666666667
124,"Older",65,7,2.83333333333333,6.33333333333333,5.66666666666667,2.66666666666667,5.66666666666667,6.33333333333333,3.16666666666667,6.16666666666667
125,"Middle Age",42,6.16666666666667,2.83333333333333,7,6.16666666666667,2,6.5,7,2,6.33333333333333
126,"Older",66,3.16666666666667,3.33333333333333,3.16666666666667,3.16666666666667,3.83333333333333,3,3.16666666666667,3.16666666666667,3.66666666666667
127,"Middle Age",55,7,2,6.66666666666667,6.16666666666667,2.5,6.33333333333333,7,3,6.5
