"subnum","agegrp","age","a.full","h.full","s.full","a.low","h.low","s.low","a.med","h.med","s.med"
1,"Older",70,4.16666666666667,5.5,4.66666666666667,4.33333333333333,3.83333333333333,4.33333333333333,3.5,4.16666666666667,4.16666666666667
2,"Middle Age",53,4.66666666666667,6,4.66666666666667,5.16666666666667,5.66666666666667,4.33333333333333,4.66666666666667,6,5
3,"Younger",29,3,5.33333333333333,3,3.5,4.5,3.5,2.83333333333333,5,2
4,"Older",62,1.16666666666667,5.83333333333333,3,3.66666666666667,3.33333333333333,3.33333333333333,1.5,5.83333333333333,2.66666666666667
5,"Younger",39,4.33333333333333,3.16666666666667,4.16666666666667,4.16666666666667,4,4.33333333333333,4,3.66666666666667,3.33333333333333
6,"Younger",27,4.33333333333333,4.16666666666667,4.16666666666667,4,4.33333333333333,4,4.33333333333333,4.16666666666667,4.33333333333333
7,"Middle Age",55,4.33333333333333,5.66666666666667,4,5.16666666666667,5.33333333333333,4.16666666666667,4.33333333333333,5.83333333333333,2.83333333333333
8,"Younger",28,3.5,5,3.33333333333333,3.83333333333333,3.83333333333333,4.5,3.16666666666667,4.16666666666667,4.33333333333333
9,"Middle Age",42,3.83333333333333,2.66666666666667,2.5,3.16666666666667,2.83333333333333,3.33333333333333,3.16666666666667,3.5,3.16666666666667
10,"Middle Age",48,4.16666666666667,2.16666666666667,4.33333333333333,3.66666666666667,2.33333333333333,4.16666666666667,5.16666666666667,1.33333333333333,2.83333333333333
11,"Younger",35,4.33333333333333,4.66666666666667,4.16666666666667,4.33333333333333,5,4.16666666666667,3.5,4.33333333333333,4.5
12,"Older",68,2,3.83333333333333,2.5,3.16666666666667,4.83333333333333,2.66666666666667,1.83333333333333,4.66666666666667,2.33333333333333
13,"Older",66,2.16666666666667,4.83333333333333,2.66666666666667,3.66666666666667,4.16666666666667,2.16666666666667,2.33333333333333,3.83333333333333,2.5
14,"Older",62,3,5.5,2.83333333333333,3.33333333333333,4.83333333333333,3.66666666666667,2.83333333333333,4.5,3
15,"Younger",21,2.66666666666667,2.16666666666667,2.33333333333333,2,2.5,2.16666666666667,2,1.83333333333333,2.33333333333333
16,"Younger",26,4,4.16666666666667,3.83333333333333,1.83333333333333,2.83333333333333,3.33333333333333,3,3.83333333333333,3.5
17,"Older",65,1.33333333333333,3.5,1.83333333333333,2.83333333333333,4.83333333333333,2.83333333333333,2.33333333333333,4.66666666666667,2
18,"Middle Age",47,5,5,5,5,4.83333333333333,5,5,5,5
19,"Middle Age",42,1.83333333333333,3.5,2.5,2.16666666666667,2.66666666666667,2.16666666666667,1.83333333333333,2.66666666666667,2.33333333333333
20,"Older",67,1.16666666666667,5.16666666666667,2.66666666666667,3.33333333333333,5,3.16666666666667,1.33333333333333,4.66666666666667,2.5
21,"Younger",23,3.5,5.33333333333333,3.66666666666667,3.5,4.16666666666667,4.83333333333333,3.5,4.16666666666667,4.5
22,"Younger",28,1.66666666666667,5.83333333333333,3.16666666666667,2.66666666666667,4.16666666666667,2.66666666666667,3,4.83333333333333,4.16666666666667
23,"Older",69,2.83333333333333,6,3.16666666666667,4,4.33333333333333,3.33333333333333,2.66666666666667,4.83333333333333,2.83333333333333
24,"Older",65,1,5.16666666666667,1.66666666666667,2.33333333333333,5.33333333333333,2.33333333333333,1.66666666666667,4.83333333333333,1.83333333333333
25,"Middle Age",42,1.83333333333333,5.16666666666667,1,1.83333333333333,6,1.5,1,6,1.66666666666667
26,"Older",66,4.83333333333333,4.66666666666667,4.83333333333333,4.83333333333333,4.16666666666667,5,4.83333333333333,4.83333333333333,4.33333333333333
27,"Middle Age",55,1,6,1.33333333333333,1.83333333333333,5.5,1.66666666666667,1,5,1.5
28,"Older",78,3.33333333333333,4.83333333333333,4,3.83333333333333,4.66666666666667,3.5,4,4,3.5
29,"Younger",39,3.5,4.16666666666667,2.66666666666667,4.16666666666667,4,3.16666666666667,2.5,3.83333333333333,4.16666666666667
30,"Younger",30,4.16666666666667,5.5,3.83333333333333,2.66666666666667,4.33333333333333,2.33333333333333,3.5,4.33333333333333,3.16666666666667
31,"Younger",36,3.16666666666667,4,4.16666666666667,3.5,3.33333333333333,3.83333333333333,3.5,4.33333333333333,3.66666666666667
32,"Middle Age",51,4,2.16666666666667,4.5,4,2.5,3.83333333333333,3.83333333333333,3,4.16666666666667
33,"Older",72,4,3.66666666666667,3.83333333333333,4,4,4,4,3.83333333333333,4
34,"Middle Age",41,3.33333333333333,4.5,3.83333333333333,4.16666666666667,4,4.16666666666667,4.33333333333333,4.66666666666667,4
35,"Middle Age",52,3.16666666666667,3.5,3.33333333333333,3,4.5,2.83333333333333,2.66666666666667,4,4.83333333333333
36,"Middle Age",53,3.83333333333333,4.33333333333333,4.16666666666667,4,4,3.83333333333333,4.5,4.33333333333333,3.66666666666667
37,"Younger",33,3.5,3.33333333333333,3.16666666666667,4.66666666666667,4,4.33333333333333,2.83333333333333,3.66666666666667,3.83333333333333
38,"Younger",28,2.5,5.16666666666667,2.83333333333333,2.5,5,2,2.16666666666667,5,1.83333333333333
39,"Younger",38,6,2.5,6,5.33333333333333,3,5.16666666666667,6,2.66666666666667,5.83333333333333
40,"Younger",38,2.33333333333333,3,1.5,2.16666666666667,3,1.5,2.16666666666667,2.83333333333333,2
41,"Older",67,1.33333333333333,3,1.5,2,3.33333333333333,1.83333333333333,1.83333333333333,3.5,1.33333333333333
42,"Middle Age",40,1.5,4.66666666666667,2.33333333333333,2.5,4.66666666666667,1.83333333333333,1.66666666666667,4.33333333333333,2.33333333333333
43,"Middle Age",55,4,4.83333333333333,4.83333333333333,4.5,4.66666666666667,5,4.33333333333333,4.83333333333333,4.83333333333333
44,"Older",75,4.33333333333333,5.83333333333333,4,4.33333333333333,5.16666666666667,5.16666666666667,4,5.5,4
45,"Younger",32,4.66666666666667,4.66666666666667,5,3.33333333333333,5.16666666666667,2.66666666666667,3.66666666666667,2.66666666666667,3.5
46,"Younger",22,3.16666666666667,4,3,2.66666666666667,2.33333333333333,3.5,3,3,2.5
47,"Older",76,4.33333333333333,5.33333333333333,3.33333333333333,3.16666666666667,3,3.5,4,5,3.66666666666667
48,"Middle Age",43,1.16666666666667,4.5,1.5,2.16666666666667,4.66666666666667,2.33333333333333,1.5,5.16666666666667,1.66666666666667
49,"Middle Age",40,4.83333333333333,4.66666666666667,4.66666666666667,4.33333333333333,4.66666666666667,5,4.5,4.16666666666667,4.66666666666667
50,"Older",72,3.5,5,4,5,5,4.5,4,5,4.5
51,"Younger",27,3.66666666666667,4.33333333333333,4,3.33333333333333,3.83333333333333,4.16666666666667,4.16666666666667,3.5,3.83333333333333
52,"Older",78,3.5,5,3.5,4,3.83333333333333,3.33333333333333,4.33333333333333,5.16666666666667,3.83333333333333
53,"Older",60,3,4.66666666666667,2.83333333333333,2.5,4.16666666666667,2.66666666666667,2.5,3.5,4.33333333333333
54,"Middle Age",56,2.33333333333333,3.66666666666667,2.5,2.66666666666667,2.83333333333333,2.33333333333333,2,3.66666666666667,2.66666666666667
55,"Older",67,2.5,3,3.33333333333333,4.5,4.66666666666667,4.66666666666667,3.5,4.33333333333333,3.66666666666667
56,"Middle Age",55,2.16666666666667,4.16666666666667,3.16666666666667,3.5,3.83333333333333,3.66666666666667,3.16666666666667,4.83333333333333,3.16666666666667
57,"Middle Age",53,2.5,4,2.66666666666667,2.83333333333333,3.66666666666667,3.16666666666667,3,3.66666666666667,2.83333333333333
58,"Younger",39,1.16666666666667,6,1.66666666666667,2.83333333333333,4.66666666666667,1.83333333333333,1.33333333333333,5.5,1.83333333333333
59,"Younger",39,3.16666666666667,3.5,4.16666666666667,3.16666666666667,3.83333333333333,3.66666666666667,3.33333333333333,3,3.33333333333333
60,"Older",71,4,4,4,4,4,4,4,4,4
61,"Older",70,3.5,4.83333333333333,3.66666666666667,3.5,3.83333333333333,3.66666666666667,4,3.83333333333333,3.5
62,"Older",63,1.66666666666667,4.83333333333333,4.16666666666667,4.16666666666667,5.83333333333333,4.33333333333333,3.33333333333333,5.33333333333333,4.16666666666667
63,"Older",71,3.33333333333333,4.16666666666667,4.33333333333333,3.5,4.16666666666667,3.66666666666667,2.66666666666667,4.5,3.5
64,"Younger",34,4.5,5,3.66666666666667,4.33333333333333,5,4.16666666666667,3.33333333333333,5.66666666666667,3.83333333333333
65,"Older",72,3.5,5.16666666666667,4.33333333333333,4.16666666666667,4.66666666666667,4.33333333333333,3.83333333333333,5.16666666666667,4.33333333333333
66,"Middle Age",49,3,3.83333333333333,3.5,3.16666666666667,3.66666666666667,2.83333333333333,2.83333333333333,3.5,3.16666666666667
67,"Younger",36,2,3.5,3.16666666666667,2.33333333333333,3.5,2,2.83333333333333,3.33333333333333,2.33333333333333
68,"Older",68,2.66666666666667,4.83333333333333,4.5,3.5,4.16666666666667,4,2.83333333333333,4.5,4.83333333333333
69,"Younger",25,4,5.33333333333333,1.66666666666667,2.33333333333333,5.66666666666667,2.83333333333333,1.83333333333333,5.5,2.5
70,"Older",66,2.16666666666667,5.83333333333333,1.83333333333333,2.5,5.16666666666667,2,1.83333333333333,5,2.16666666666667
71,"Middle Age",41,2.83333333333333,4.66666666666667,2.83333333333333,2.83333333333333,4.16666666666667,3.5,2.16666666666667,5,2.5
72,"Younger",26,2.83333333333333,1.83333333333333,2.33333333333333,2.66666666666667,3.66666666666667,3.33333333333333,3.66666666666667,3.83333333333333,4
73,"Older",73,3.16666666666667,3.83333333333333,2.33333333333333,3.5,2.66666666666667,3,3.33333333333333,4.16666666666667,3.66666666666667
74,"Older",68,4.5,5,4.5,5,5,5,4.5,5,5
75,"Older",70,2.33333333333333,4.83333333333333,2.66666666666667,2.33333333333333,4.16666666666667,3.66666666666667,2.5,4.5,3
76,"Middle Age",44,4.16666666666667,4.83333333333333,4.33333333333333,4.33333333333333,3.66666666666667,3.66666666666667,4.16666666666667,4,3.83333333333333
77,"Older",63,3,5.33333333333333,3.66666666666667,2.5,4.5,3.5,1.83333333333333,4.33333333333333,3.16666666666667
78,"Older",69,2,4.83333333333333,2,2.66666666666667,4.5,2,2,4.66666666666667,2
79,"Middle Age",41,2.16666666666667,4.33333333333333,3.5,3.83333333333333,4.16666666666667,3.33333333333333,4.33333333333333,4.5,2.5
80,"Middle Age",57,1.5,5.33333333333333,3,2.83333333333333,5.5,3.16666666666667,1.83333333333333,5.33333333333333,3
81,"Older",76,3,2.83333333333333,3.5,3.83333333333333,4,4,3.5,3,3.83333333333333
82,"Middle Age",59,4.5,4.83333333333333,4.66666666666667,4.66666666666667,4.5,4.66666666666667,5,4.83333333333333,5
83,"Older",71,2.83333333333333,4.5,2,2.5,3.66666666666667,3.16666666666667,2.66666666666667,4.16666666666667,2.5
84,"Older",70,4.16666666666667,5.66666666666667,3.5,4.33333333333333,4.83333333333333,4.5,4.16666666666667,5,4.16666666666667
85,"Middle Age",58,2,4.66666666666667,2.66666666666667,3,4.5,3.66666666666667,2.5,4.33333333333333,2.66666666666667
86,"Older",72,2.83333333333333,6,4.66666666666667,4.5,5,5.16666666666667,3.16666666666667,5.33333333333333,4.5
87,"Middle Age",58,1.16666666666667,5,4.16666666666667,4.33333333333333,5,3.83333333333333,4.33333333333333,4.83333333333333,4.16666666666667
88,"Middle Age",57,5,5,4.83333333333333,5,4.66666666666667,5,5,4.83333333333333,5
89,"Younger",23,4.66666666666667,4.66666666666667,2.83333333333333,3.33333333333333,4.5,3.83333333333333,3.5,4.83333333333333,4
90,"Older",70,1.83333333333333,3.5,2.5,2.16666666666667,2.66666666666667,2.66666666666667,2,3.5,2.5
91,"Middle Age",56,1.66666666666667,5,4,3.16666666666667,4.33333333333333,3.16666666666667,1.83333333333333,5.16666666666667,2.16666666666667
92,"Middle Age",48,1.66666666666667,4.5,3.5,3.66666666666667,3.16666666666667,4.16666666666667,1.5,4.66666666666667,4
93,"Younger",30,3.16666666666667,5.16666666666667,3.5,3.5,4.33333333333333,3.33333333333333,3.33333333333333,4.16666666666667,3.5
94,"Middle Age",44,1.83333333333333,4.33333333333333,1.83333333333333,2.5,3.16666666666667,3,1.83333333333333,3.5,2.33333333333333
95,"Younger",27,3,3,2.66666666666667,3.83333333333333,3.83333333333333,3.33333333333333,3.33333333333333,3.16666666666667,3.66666666666667
96,"Younger",26,4.16666666666667,4,5.5,5,3.66666666666667,5.16666666666667,3.16666666666667,4.33333333333333,4
97,"Younger",36,2,2,2,2.33333333333333,1.83333333333333,2.16666666666667,2.5,2,2.66666666666667
98,"Middle Age",48,1.66666666666667,4,2.33333333333333,2.83333333333333,4.33333333333333,2.5,1.66666666666667,4.66666666666667,2.16666666666667
99,"Middle Age",51,4,4.33333333333333,3.83333333333333,3.33333333333333,3.33333333333333,3.5,3.5,4.16666666666667,3.5
100,"Middle Age",44,4,3.5,3.83333333333333,3.83333333333333,3.66666666666667,4,3.5,3.83333333333333,3.83333333333333
101,"Middle Age",45,1,5.16666666666667,2.66666666666667,2.66666666666667,5.16666666666667,1,1.83333333333333,4.33333333333333,1.83333333333333
102,"Middle Age",54,4,4,3.83333333333333,3.83333333333333,3.83333333333333,4,4,3.83333333333333,4
103,"Younger",24,2.66666666666667,2,2.16666666666667,2.5,2.5,2.66666666666667,2.83333333333333,3.16666666666667,3
104,"Younger",32,4.33333333333333,5.83333333333333,4.83333333333333,5.66666666666667,6,4,5.16666666666667,6,5
105,"Younger",24,3.66666666666667,3.66666666666667,3.5,2.5,3.66666666666667,3.5,3.66666666666667,4,3.83333333333333
106,"Younger",38,4.66666666666667,5.5,5,4.5,4,3.66666666666667,4.33333333333333,5.66666666666667,4.5
107,"Younger",38,3.66666666666667,5.16666666666667,2.5,3.83333333333333,3.83333333333333,4.5,2.5,4.33333333333333,4.16666666666667
108,"Younger",27,2,4.83333333333333,1.83333333333333,3.83333333333333,5.16666666666667,2.83333333333333,2.5,5,2.83333333333333
