"subnum","agegrp","age","a.full","h.full","s.full","a.low","h.low","s.low","a.med","h.med","s.med"
1,"Older",70,5.66666666666667,1.5,5.5,5.33333333333333,3.33333333333333,5,6.16666666666667,2.33333333333333,5.5
2,"Middle Age",53,6,1,6.5,5,2,5.5,5.83333333333333,1.5,5.66666666666667
3,"Younger",29,4.33333333333333,2.33333333333333,4.83333333333333,5,2.83333333333333,5,5.5,2.33333333333333,5.33333333333333
4,"Older",62,6.83333333333333,1.16666666666667,6,5.16666666666667,2.33333333333333,4.66666666666667,6.83333333333333,1.16666666666667,6
5,"Younger",39,5.83333333333333,2,5.83333333333333,5.16666666666667,3.16666666666667,6,5.5,2,5.16666666666667
6,"Younger",27,4,4,4,4,4,4,4,4,4
7,"Middle Age",55,7,1,6.16666666666667,5.16666666666667,2,6,6.33333333333333,1.66666666666667,5.66666666666667
8,"Younger",28,4.83333333333333,2.33333333333333,4.33333333333333,3.33333333333333,4.5,4.5,4.66666666666667,3.5,4.83333333333333
9,"Middle Age",42,4.33333333333333,3.16666666666667,5.33333333333333,3.83333333333333,3.33333333333333,3.33333333333333,3,4.33333333333333,3.5
10,"Middle Age",48,6,2.66666666666667,5.83333333333333,5.16666666666667,3.33333333333333,5,6.16666666666667,2.66666666666667,5
11,"Younger",35,3.16666666666667,2.83333333333333,3.16666666666667,3.33333333333333,3.66666666666667,3.5,4,3.5,2.5
12,"Older",68,5.5,2.5,5,3.83333333333333,3.16666666666667,5,5.66666666666667,2.33333333333333,4.66666666666667
13,"Older",66,5.16666666666667,2.16666666666667,5.16666666666667,4.16666666666667,3.16666666666667,5,4.5,3.16666666666667,5.16666666666667
14,"Older",62,3.66666666666667,1.83333333333333,4.16666666666667,3.83333333333333,2.16666666666667,4.16666666666667,4.16666666666667,3.33333333333333,3.5
15,"Younger",21,4.66666666666667,4.33333333333333,5,4.66666666666667,3.5,5.5,5.5,5.66666666666667,4.66666666666667
16,"Younger",26,2.16666666666667,5,2.5,5.5,5.16666666666667,3.66666666666667,3.66666666666667,2.83333333333333,3.5
17,"Older",65,5.5,3.16666666666667,5,4.16666666666667,3.16666666666667,4.5,5,2.83333333333333,5
18,"Middle Age",47,6,2.66666666666667,5.5,5.33333333333333,2.66666666666667,5.33333333333333,4.66666666666667,3.16666666666667,4
19,"Middle Age",42,5.83333333333333,4.66666666666667,5.5,6,4.5,5.66666666666667,5.66666666666667,4.5,6
20,"Older",67,6.16666666666667,2.5,5.16666666666667,5,3.33333333333333,4.83333333333333,6,3.83333333333333,5
21,"Younger",23,6.16666666666667,2,5.83333333333333,5,3.5,5.33333333333333,4.33333333333333,3.5,4.66666666666667
22,"Younger",28,6.66666666666667,1.33333333333333,5.16666666666667,5.83333333333333,1.66666666666667,4.33333333333333,4,1.83333333333333,4.33333333333333
23,"Older",69,6.83333333333333,1,6,4.83333333333333,3.16666666666667,5.16666666666667,5.83333333333333,2.16666666666667,5.16666666666667
24,"Older",65,7,1.16666666666667,6.33333333333333,5.33333333333333,1.83333333333333,5.16666666666667,6.16666666666667,1.83333333333333,5.83333333333333
25,"Middle Age",42,7,1,7,6,1,5.5,7,1,6
26,"Older",66,5.66666666666667,1.16666666666667,5.16666666666667,4.5,3,4.5,5.5,1.66666666666667,5
27,"Middle Age",55,7,1,6,6,1.33333333333333,5.66666666666667,7,1.66666666666667,6.16666666666667
28,"Older",78,4,3,3.83333333333333,3.66666666666667,2.83333333333333,4.33333333333333,3.83333333333333,2.83333333333333,3.66666666666667
29,"Younger",39,6.66666666666667,3.33333333333333,6.5,4.66666666666667,4.33333333333333,5.83333333333333,5.66666666666667,4.16666666666667,7
30,"Younger",30,6.33333333333333,1.33333333333333,4.16666666666667,5.16666666666667,3,5.16666666666667,4,2.5,4.5
31,"Younger",36,4.5,3.5,3.66666666666667,4.33333333333333,3.83333333333333,4.5,4.33333333333333,3.16666666666667,4.16666666666667
32,"Middle Age",51,4,4.83333333333333,3.66666666666667,3.66666666666667,4.66666666666667,3.83333333333333,4.33333333333333,4,3.5
33,"Older",72,5.66666666666667,2.33333333333333,5.5,4.5,2.16666666666667,4.66666666666667,5.5,3,4.83333333333333
34,"Middle Age",41,4.33333333333333,3.5,4.83333333333333,3.83333333333333,3.83333333333333,4.5,4.16666666666667,3.5,5.16666666666667
35,"Middle Age",52,2.83333333333333,2.83333333333333,4.33333333333333,2.83333333333333,4.66666666666667,3.66666666666667,2.66666666666667,4.16666666666667,4.16666666666667
36,"Middle Age",53,5.66666666666667,1.33333333333333,6.16666666666667,4.5,3,5.16666666666667,5.66666666666667,1.5,5.33333333333333
37,"Younger",33,4.66666666666667,3.66666666666667,5.16666666666667,5,4.66666666666667,4.83333333333333,4.66666666666667,4.33333333333333,4.83333333333333
38,"Younger",28,6.16666666666667,1,5,4.83333333333333,1.5,5,5.5,2,5.33333333333333
39,"Younger",38,1,3.5,1,2,3.83333333333333,1.5,1,3.5,1
40,"Younger",38,6.16666666666667,3.16666666666667,5.66666666666667,5.16666666666667,3.33333333333333,6,5.66666666666667,4.16666666666667,6.16666666666667
41,"Older",67,4.83333333333333,3.5,4.66666666666667,4.33333333333333,2.83333333333333,4.66666666666667,4.83333333333333,3.16666666666667,4.5
42,"Middle Age",40,7,1.5,6,4.83333333333333,1,5.33333333333333,6.33333333333333,1.5,5.5
43,"Middle Age",55,6,1.16666666666667,5.83333333333333,4.33333333333333,2.66666666666667,5.33333333333333,5.83333333333333,2,5.66666666666667
44,"Older",75,7,1.16666666666667,5.83333333333333,5,2.16666666666667,5.5,6.33333333333333,1.5,5.16666666666667
45,"Younger",32,4.83333333333333,5.33333333333333,6,3.66666666666667,4.16666666666667,3,3.33333333333333,2.33333333333333,4.16666666666667
46,"Younger",22,5.83333333333333,2.66666666666667,5.5,5.16666666666667,4.66666666666667,4.33333333333333,4.66666666666667,3.16666666666667,5.5
