"subnum","agegrp","age","a.full","h.full","s.full","a.low","h.low","s.low","a.med","h.med","s.med"
1,"Older",70,2.33333333333333,6.5,2.5,2.66666666666667,4.66666666666667,3,1.83333333333333,5.66666666666667,2.5
2,"Middle Age",53,2,7,1.5,3,6,2.5,2.16666666666667,6.5,2.33333333333333
3,"Younger",29,3.66666666666667,5.66666666666667,3.16666666666667,3,5.16666666666667,3,2.5,5.66666666666667,2.66666666666667
4,"Older",62,1.16666666666667,6.83333333333333,2,2.83333333333333,5.66666666666667,3.33333333333333,1.16666666666667,6.83333333333333,2
5,"Younger",39,2.16666666666667,6,2.16666666666667,2.83333333333333,4.83333333333333,2,2.5,6,2.83333333333333
6,"Younger",27,4,4,4,4,4,4,4,4,4
7,"Middle Age",55,1,7,1.83333333333333,2.83333333333333,6,2,1.66666666666667,6.33333333333333,2.33333333333333
8,"Younger",28,3.16666666666667,5.66666666666667,3.66666666666667,4.66666666666667,3.5,3.5,3.33333333333333,4.5,3.16666666666667
9,"Middle Age",42,3.66666666666667,4.83333333333333,2.66666666666667,4.16666666666667,4.66666666666667,4.66666666666667,5,3.66666666666667,4.5
10,"Middle Age",48,2,5.33333333333333,2.16666666666667,2.83333333333333,4.66666666666667,3,1.83333333333333,5.33333333333333,3
11,"Younger",35,4.83333333333333,5.16666666666667,4.83333333333333,4.66666666666667,4.33333333333333,4.5,4,4.5,5.5
12,"Older",68,2.5,5.5,3,4.16666666666667,4.83333333333333,3,2.33333333333333,5.66666666666667,3.33333333333333
13,"Older",66,2.83333333333333,5.83333333333333,2.83333333333333,3.83333333333333,4.83333333333333,3,3.5,4.83333333333333,2.83333333333333
14,"Older",62,4.33333333333333,6.16666666666667,3.83333333333333,4.16666666666667,5.83333333333333,3.83333333333333,3.83333333333333,4.66666666666667,4.5
15,"Younger",21,3.33333333333333,3.66666666666667,3,3.33333333333333,4.5,2.5,2.5,2.33333333333333,3.33333333333333
16,"Younger",26,5.83333333333333,3,5.5,2.5,2.83333333333333,4.33333333333333,4.33333333333333,5.16666666666667,4.5
17,"Older",65,2.5,4.83333333333333,3,3.83333333333333,4.83333333333333,3.5,3,5.16666666666667,3
18,"Middle Age",47,2,5.33333333333333,2.5,2.66666666666667,5.33333333333333,2.66666666666667,3.33333333333333,4.83333333333333,4
19,"Middle Age",42,2.16666666666667,3.33333333333333,2.5,2,3.5,2.33333333333333,2.33333333333333,3.5,2
20,"Older",67,1.83333333333333,5.5,2.83333333333333,3,4.66666666666667,3.16666666666667,2,4.16666666666667,3
21,"Younger",23,1.83333333333333,6,2.16666666666667,3,4.5,2.66666666666667,3.66666666666667,4.5,3.33333333333333
22,"Younger",28,1.33333333333333,6.66666666666667,2.83333333333333,2.16666666666667,6.33333333333333,3.66666666666667,4,6.16666666666667,3.66666666666667
23,"Older",69,1.16666666666667,7,2,3.16666666666667,4.83333333333333,2.83333333333333,2.16666666666667,5.83333333333333,2.83333333333333
24,"Older",65,1,6.83333333333333,1.66666666666667,2.66666666666667,6.16666666666667,2.83333333333333,1.83333333333333,6.16666666666667,2.16666666666667
25,"Middle Age",42,1,7,1,2,7,2.5,1,7,2
26,"Older",66,2.33333333333333,6.83333333333333,2.83333333333333,3.5,5,3.5,2.5,6.33333333333333,3
27,"Middle Age",55,1,7,2,2,6.66666666666667,2.33333333333333,1,6.33333333333333,1.83333333333333
28,"Older",78,4,5,4.16666666666667,4.33333333333333,5.16666666666667,3.66666666666667,4.16666666666667,5.16666666666667,4.33333333333333
29,"Younger",39,1.33333333333333,4.66666666666667,1.5,3.33333333333333,3.66666666666667,2.16666666666667,2.33333333333333,3.83333333333333,1
30,"Younger",30,1.66666666666667,6.66666666666667,3.83333333333333,2.83333333333333,5,2.83333333333333,4,5.5,3.5
31,"Younger",36,3.5,4.5,4.33333333333333,3.66666666666667,4.16666666666667,3.5,3.66666666666667,4.83333333333333,3.83333333333333
32,"Middle Age",51,4,3.16666666666667,4.33333333333333,4.33333333333333,3.33333333333333,4.16666666666667,3.66666666666667,4,4.5
33,"Older",72,2.33333333333333,5.66666666666667,2.5,3.5,5.83333333333333,3.33333333333333,2.5,5,3.16666666666667
34,"Middle Age",41,3.66666666666667,4.5,3.16666666666667,4.16666666666667,4.16666666666667,3.5,3.83333333333333,4.5,2.83333333333333
35,"Middle Age",52,5.16666666666667,5.16666666666667,3.66666666666667,5.16666666666667,3.33333333333333,4.33333333333333,5.33333333333333,3.83333333333333,3.83333333333333
36,"Middle Age",53,2.33333333333333,6.66666666666667,1.83333333333333,3.5,5,2.83333333333333,2.33333333333333,6.5,2.66666666666667
37,"Younger",33,3.33333333333333,4.33333333333333,2.83333333333333,3,3.33333333333333,3.16666666666667,3.33333333333333,3.66666666666667,3.16666666666667
38,"Younger",28,1.83333333333333,7,3,3.16666666666667,6.5,3,2.5,6,2.66666666666667
39,"Younger",38,7,4.5,7,6,4.16666666666667,6.5,7,4.5,7
40,"Younger",38,1.83333333333333,4.83333333333333,2.33333333333333,2.83333333333333,4.66666666666667,2,2.33333333333333,3.83333333333333,1.83333333333333
41,"Older",67,3.16666666666667,4.5,3.33333333333333,3.66666666666667,5.16666666666667,3.33333333333333,3.16666666666667,4.83333333333333,3.5
42,"Middle Age",40,1,6.5,2,3.16666666666667,7,2.66666666666667,1.66666666666667,6.5,2.5
43,"Middle Age",55,2,6.83333333333333,2.16666666666667,3.66666666666667,5.33333333333333,2.66666666666667,2.16666666666667,6,2.33333333333333
44,"Older",75,1,6.83333333333333,2.16666666666667,3,5.83333333333333,2.5,1.66666666666667,6.5,2.83333333333333
45,"Younger",32,3.16666666666667,2.66666666666667,2,4.33333333333333,3.83333333333333,5,4.66666666666667,5.66666666666667,3.83333333333333
46,"Younger",22,2.16666666666667,5.33333333333333,2.5,2.83333333333333,3.33333333333333,3.66666666666667,3.33333333333333,4.83333333333333,2.5
47,"Older",76,1.33333333333333,6.5,1.5,3.33333333333333,5.16666666666667,2.83333333333333,1.83333333333333,6.33333333333333,2.33333333333333
48,"Middle Age",43,4,4.16666666666667,4,4,4.16666666666667,3.66666666666667,3.66666666666667,4,3.66666666666667
49,"Middle Age",40,3.16666666666667,3.66666666666667,3.5,3.33333333333333,4,3.83333333333333,2.66666666666667,3.83333333333333,2.83333333333333
50,"Older",72,1.5,6.83333333333333,2,3.16666666666667,6.16666666666667,2.66666666666667,1.66666666666667,6.33333333333333,2
51,"Younger",27,3.5,4.33333333333333,3,4,4,4,3.66666666666667,4.5,3.5
52,"Older",78,1.16666666666667,7,1.5,2.66666666666667,5.66666666666667,2.16666666666667,1,6.5,1.83333333333333
53,"Older",60,2.5,4.5,2.83333333333333,4.33333333333333,3.83333333333333,3,3.33333333333333,3.66666666666667,2
54,"Middle Age",56,3.16666666666667,4.5,2.83333333333333,3.33333333333333,4.16666666666667,4,2.83333333333333,4.83333333333333,2.16666666666667
55,"Older",67,2.66666666666667,6.5,3.33333333333333,3.5,4.83333333333333,3.66666666666667,2.66666666666667,6.16666666666667,2.66666666666667
56,"Middle Age",55,3.66666666666667,4.33333333333333,4,3.66666666666667,4.16666666666667,3.66666666666667,4,5.5,4
57,"Middle Age",53,2.33333333333333,5.5,2.5,3.16666666666667,5.16666666666667,3.5,3.33333333333333,5,3
58,"Younger",39,1.16666666666667,7,1.66666666666667,3.16666666666667,5.33333333333333,2.66666666666667,1.5,6.5,2.33333333333333
59,"Younger",39,4.16666666666667,4.16666666666667,4,4,4,5,4,5,4.5
60,"Older",71,4,4,4,4,4,4,4,4,4
61,"Older",70,3.16666666666667,5.66666666666667,2.5,3.16666666666667,4.66666666666667,2.83333333333333,2.83333333333333,5.16666666666667,2.66666666666667
62,"Older",63,1.5,7,2,2.83333333333333,6.16666666666667,2.83333333333333,1.66666666666667,7,2.33333333333333
63,"Older",71,3.66666666666667,4.83333333333333,3.83333333333333,4,4.5,4,3.83333333333333,4.16666666666667,4
64,"Younger",34,1.83333333333333,6.33333333333333,2.66666666666667,4.66666666666667,5.83333333333333,3,3.33333333333333,6.66666666666667,2.83333333333333
65,"Older",72,1.33333333333333,6.33333333333333,2.66666666666667,3.5,5.33333333333333,3,2.33333333333333,6.16666666666667,2.66666666666667
66,"Middle Age",49,3.16666666666667,4.66666666666667,3.33333333333333,3.83333333333333,4.66666666666667,2.33333333333333,2.83333333333333,4.66666666666667,3
67,"Younger",36,2.33333333333333,4.83333333333333,2.5,3,3.66666666666667,3,1.83333333333333,3.83333333333333,2.5
68,"Older",68,2.33333333333333,6,2.16666666666667,3.16666666666667,5.16666666666667,2.83333333333333,2.5,5.5,1.83333333333333
69,"Younger",25,2,6.83333333333333,1.33333333333333,2.66666666666667,7,3.33333333333333,1.83333333333333,7,2.83333333333333
70,"Older",66,1.66666666666667,6.5,2,3,5.16666666666667,2.66666666666667,2,6.16666666666667,2.66666666666667
71,"Middle Age",41,2,6,2.5,3.33333333333333,5.5,2.5,1.83333333333333,6.16666666666667,3
72,"Younger",26,5.33333333333333,4.16666666666667,5.83333333333333,5,4.66666666666667,5.33333333333333,4.83333333333333,4.83333333333333,5.33333333333333
73,"Older",73,3,4.5,3.5,4.16666666666667,3.83333333333333,3.83333333333333,3.5,4.66666666666667,3.5
74,"Older",68,3,5.33333333333333,3,3.33333333333333,5,3.33333333333333,2.66666666666667,5.5,2.83333333333333
75,"Older",70,3.5,5.33333333333333,3.16666666666667,3.66666666666667,5,3.16666666666667,3.66666666666667,5.33333333333333,3.66666666666667
76,"Middle Age",44,3.16666666666667,4,4,3.83333333333333,4,4,4.16666666666667,4.33333333333333,4
77,"Older",63,2.5,6.33333333333333,2.66666666666667,3.16666666666667,5.66666666666667,3,2.5,5.66666666666667,2.83333333333333
78,"Older",69,2.66666666666667,5.5,2.33333333333333,3,4.66666666666667,2.83333333333333,2.33333333333333,5.33333333333333,3.5
79,"Middle Age",41,1.33333333333333,5.66666666666667,2,2.5,6.16666666666667,2.33333333333333,1.66666666666667,5.83333333333333,2.16666666666667
80,"Middle Age",57,3,6.33333333333333,2.83333333333333,3.33333333333333,5.33333333333333,3.66666666666667,3.33333333333333,6,3.16666666666667
81,"Older",76,2.5,5.83333333333333,3,3.5,5.16666666666667,3.33333333333333,2.66666666666667,6,3.33333333333333
82,"Middle Age",59,2,6.33333333333333,2.33333333333333,2.66666666666667,5.33333333333333,3.16666666666667,2.16666666666667,6,2
83,"Older",71,4,4,4,4,4,4,4,4,4
84,"Older",70,2,6.5,2.33333333333333,3.33333333333333,5.33333333333333,3,3,5.5,2.66666666666667
85,"Middle Age",58,3.66666666666667,4.33333333333333,4,4,4.16666666666667,3.83333333333333,3.83333333333333,4.16666666666667,4
