,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,115_a_full_arsl,115_a_full_vln,115_a_full_nat,115_a_low_arsl,115_a_low_vln,115_a_low_nat,115_a_med_arsl,115_a_med_vln,115_a_med_nat,115_h_full_arsl,115_h_full_vln,115_h_full_nat,115_h_low_arsl,115_h_low_vln,115_h_low_nat,115_h_med_arsl,115_h_med_vln,115_h_med_nat,115_s_full_arsl,115_s_full_vln,115_s_full_nat,115_s_low_arsl,115_s_low_vln,115_s_low_nat,115_s_med_arsl,115_s_med_vln,115_s_med_nat,118_a_full_arsl,118_a_full_vln,118_a_full_nat,118_a_low_arsl,118_a_low_vln,118_a_low_nat,118_a_med_arsl,118_a_med_vln,118_a_med_nat,118_h_full_arsl,118_h_full_vln,118_h_full_nat,118_h_low_arsl,118_h_low_vln,118_h_low_nat,118_h_med_arsl,118_h_med_vln,118_h_med_nat,118_s_full_arsl,118_s_full_vln,118_s_full_nat,118_s_low_arsl,118_s_low_vln,118_s_low_nat,118_s_med_arsl,118_s_med_vln,118_s_med_nat,43_a_full_arsl,43_a_full_vln,43_a_full_nat,43_a_low_arsl,43_a_low_vln,43_a_low_nat,43_a_med_arsl,43_a_med_vln,43_a_med_nat,43_h_full_arsl,43_h_full_vln,43_h_full_nat,43_h_low_arsl,43_h_low_vln,43_h_low_nat,43_h_med_arsl,43_h_med_vln,43_h_med_nat,43_s_full_arsl,43_s_full_vln,43_s_full_nat,43_s_low_arsl,43_s_low_vln,43_s_low_nat,43_s_med_arsl,43_s_med_vln,43_s_med_nat,86_a_full_arsl,86_a_full_vln,86_a_full_nat,86_a_low_arsl,86_a_low_vln,86_a_low_nat,86_a_med_arsl,86_a_med_vln,86_a_med_nat,86_h_full_arsl,86_h_full_vln,86_h_full_nat,86_h_low_arsl,86_h_low_vln,86_h_low_nat,86_h_med_arsl,86_h_med_vln,86_h_med_nat,86_s_full_arsl,86_s_full_vln,86_s_full_nat,86_s_low_arsl,86_s_low_vln,86_s_low_nat,86_s_med_arsl,86_s_med_vln,86_s_med_nat,87_a_full_arsl,87_a_full_vln,87_a_full_nat,87_a_low_arsl,87_a_low_vln,87_a_low_nat,87_a_med_arsl,87_a_med_vln,87_a_med_nat,87_h_full_arsl,87_h_full_vln,87_h_full_nat,87_h_low_arsl,87_h_low_vln,87_h_low_nat,87_h_med_arsl,87_h_med_vln,87_h_med_nat,87_s_full_arsl,87_s_full_vln,87_s_full_nat,87_s_low_arsl,87_s_low_vln,87_s_low_nat,87_s_med_arsl,87_s_med_vln,87_s_med_nat,89_a_full_arsl,89_a_full_vln,89_a_full_nat,89_a_low_arsl,89_a_low_vln,89_a_low_nat,89_a_med_arsl,89_a_med_vln,89_a_med_nat,89_h_full_arsl,89_h_full_vln,89_h_full_nat,89_h_low_arsl,89_h_low_vln,89_h_low_nat,89_h_med_arsl,89_h_med_vln,89_h_med_nat,89_s_full_arsl,89_s_full_vln,89_s_full_nat,89_s_low_arsl,89_s_low_vln,89_s_low_nat,89_s_med_arsl,89_s_med_vln,89_s_med_nat,,,,,
StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q383,Q385,Q387,Q389,Q391,Q393,Q395,Q397,Q331,Q336,Q56,Q58,Q346,Q61,Q63,Q347,Q66,Q68,Q349,Q321,Q323,Q350,Q72,Q74,Q351,Q325,Q327,Q352,Q78,Q80,Q353,Q83,Q85,Q354,Q88,Q90,Q355,Q138,Q140,Q356,Q143,Q145,Q357,Q148,Q150,Q358,Q153,Q155,Q359,Q158,Q160,Q360,Q163,Q165,Q361,Q168,Q170,Q362,Q173,Q175,Q363,Q178,Q180,Q364,Q231,Q233,Q365,Q236,Q238,Q366,Q241,Q243,Q367,Q246,Q248,Q368,Q251,Q253,Q369,Q256,Q258,Q370,Q261,Q263,Q371,Q266,Q268,Q372,Q271,Q273,Q373,Q280,Q282,Q374,Q285,Q287,Q375,Q290,Q292,Q376,Q295,Q297,Q377,Q300,Q302,Q378,Q305,Q307,Q379,Q310,Q312,Q381,Q335,Q337,Q382,Q316,Q318,Q383,Q321,Q323,Q384,Q326,Q328,Q385,Q331,Q333,Q386,Q340,Q342,Q387,Q345,Q347,Q388,Q350,Q352,Q389,Q285,Q287,Q390,Q290,Q292,Q391,Q296,Q298,Q392,Q301,Q303,Q393,Q306,Q308,Q394,Q311,Q313,Q395,Q316,Q318,Q396,Q321,Q323,Q397,Q326,Q328,Q398,Q331,Q333,Q399,Q336,Q338,Q400,Q341,Q343,Q401,opp,rid,RISN,gc,term
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Are you currently experiencing or have you previously experienced any psychological health issues (for example, depression, bipolar, anxiety, OCD, ADD/ADHD, eating disorder, addiction, etc.)?","Are you currently experiencing or have you previously experienced any neurological health issues (for example, seizure, stroke, dementia, Alzheimer's, Parkinson's, etc.)?",What is your age?,Are you male or female?,What is the highest level of education you've completed?,What is your race/ethnicity?,"What was your total household income last year?  (If a student, select your approximate family income)",How do you feel about your general physical health these days?,Q331,Q336,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,Arousal Rating,Valence Rating,How natural does this expression apear?,opp,rid,RISN,gc,term
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID440""}","{""ImportId"":""QID441""}","{""ImportId"":""QID442""}","{""ImportId"":""QID443""}","{""ImportId"":""QID444""}","{""ImportId"":""QID445""}","{""ImportId"":""QID446""}","{""ImportId"":""QID447""}","{""ImportId"":""QID361""}","{""ImportId"":""QID365""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID377""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID378""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID380""}","{""ImportId"":""QID351""}","{""ImportId"":""QID352""}","{""ImportId"":""QID381""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID382""}","{""ImportId"":""QID353""}","{""ImportId"":""QID354""}","{""ImportId"":""QID383""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID384""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID385""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID386""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID387""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID388""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID389""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID390""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID391""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID392""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID393""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}","{""ImportId"":""QID394""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID395""}","{""ImportId"":""QID156""}","{""ImportId"":""QID157""}","{""ImportId"":""QID396""}","{""ImportId"":""QID159""}","{""ImportId"":""QID160""}","{""ImportId"":""QID397""}","{""ImportId"":""QID162""}","{""ImportId"":""QID163""}","{""ImportId"":""QID398""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166""}","{""ImportId"":""QID399""}","{""ImportId"":""QID168""}","{""ImportId"":""QID169""}","{""ImportId"":""QID400""}","{""ImportId"":""QID171""}","{""ImportId"":""QID172""}","{""ImportId"":""QID401""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175""}","{""ImportId"":""QID402""}","{""ImportId"":""QID177""}","{""ImportId"":""QID178""}","{""ImportId"":""QID403""}","{""ImportId"":""QID180""}","{""ImportId"":""QID181""}","{""ImportId"":""QID404""}","{""ImportId"":""QID270""}","{""ImportId"":""QID271""}","{""ImportId"":""QID405""}","{""ImportId"":""QID273""}","{""ImportId"":""QID274""}","{""ImportId"":""QID406""}","{""ImportId"":""QID276""}","{""ImportId"":""QID277""}","{""ImportId"":""QID407""}","{""ImportId"":""QID279""}","{""ImportId"":""QID280""}","{""ImportId"":""QID408""}","{""ImportId"":""QID282""}","{""ImportId"":""QID283""}","{""ImportId"":""QID409""}","{""ImportId"":""QID285""}","{""ImportId"":""QID286""}","{""ImportId"":""QID410""}","{""ImportId"":""QID288""}","{""ImportId"":""QID289""}","{""ImportId"":""QID412""}","{""ImportId"":""QID303""}","{""ImportId"":""QID304""}","{""ImportId"":""QID413""}","{""ImportId"":""QID292""}","{""ImportId"":""QID293""}","{""ImportId"":""QID414""}","{""ImportId"":""QID295""}","{""ImportId"":""QID296""}","{""ImportId"":""QID415""}","{""ImportId"":""QID298""}","{""ImportId"":""QID299""}","{""ImportId"":""QID416""}","{""ImportId"":""QID301""}","{""ImportId"":""QID302""}","{""ImportId"":""QID417""}","{""ImportId"":""QID306""}","{""ImportId"":""QID307""}","{""ImportId"":""QID418""}","{""ImportId"":""QID309""}","{""ImportId"":""QID310""}","{""ImportId"":""QID419""}","{""ImportId"":""QID312""}","{""ImportId"":""QID313""}","{""ImportId"":""QID420""}","{""ImportId"":""QID315""}","{""ImportId"":""QID316""}","{""ImportId"":""QID421""}","{""ImportId"":""QID318""}","{""ImportId"":""QID319""}","{""ImportId"":""QID422""}","{""ImportId"":""QID322""}","{""ImportId"":""QID323""}","{""ImportId"":""QID423""}","{""ImportId"":""QID325""}","{""ImportId"":""QID326""}","{""ImportId"":""QID424""}","{""ImportId"":""QID328""}","{""ImportId"":""QID329""}","{""ImportId"":""QID425""}","{""ImportId"":""QID331""}","{""ImportId"":""QID332""}","{""ImportId"":""QID426""}","{""ImportId"":""QID334""}","{""ImportId"":""QID335""}","{""ImportId"":""QID427""}","{""ImportId"":""QID337""}","{""ImportId"":""QID338""}","{""ImportId"":""QID428""}","{""ImportId"":""QID340""}","{""ImportId"":""QID341""}","{""ImportId"":""QID429""}","{""ImportId"":""QID343""}","{""ImportId"":""QID344""}","{""ImportId"":""QID430""}","{""ImportId"":""QID346""}","{""ImportId"":""QID347""}","{""ImportId"":""QID431""}","{""ImportId"":""QID349""}","{""ImportId"":""QID350""}","{""ImportId"":""QID432""}","{""ImportId"":""opp""}","{""ImportId"":""rid""}","{""ImportId"":""RISN""}","{""ImportId"":""gc""}","{""ImportId"":""term""}"
11/5/18 11:51,11/5/18 12:13,0,108.5.141.44,100,1328,1,11/5/18 12:13,R_1ghHizQ0Fl5uo9V,,,,,40.72610474,-74.23130035,anonymous,EN,2,2,51,2,2,2,4,5,4,4,5,4,4,4,4,4,7,6,4,1,1,6,4,4,5,2,2,5,7,4,6,7,5,4,7,4,4,7,7,6,6,5,4,7,6,4,4,4,4,6,4,4,4,4,5,6,5,4,7,4,2,6,7,4,7,7,6,7,7,5,7,7,3,1,1,6,3,2,4,3,2,4,7,7,4,7,4,5,7,4,6,7,7,2,3,3,4,5,4,4,1,1,6,7,4,4,1,2,4,7,4,6,7,7,5,7,7,4,4,2,6,7,7,5,7,7,1,1,1,5,4,4,3,2,2,3,7,6,4,5,4,5,7,7,4,7,7,1,6,6,4,7,7,5,1,1,6,2,2,3,2,2,4,7,7,4,6,6,5,7,4,3,Qual1827-1101Morphs,5be09129-186f-482a-9614-2f11e753814f,3280884,1,
11/5/18 12:41,11/5/18 12:52,0,71.224.102.134,100,647,1,11/5/18 12:52,R_3PQSTFef4dZYofT,,,,,40.26350403,-75.61720276,anonymous,EN,2,2,34,2,4,1,9,5,6,2,6,5,5,6,5,5,6,5,4,5,1,6,6,2,6,5,1,6,6,6,5,6,5,6,6,5,5,5,6,5,6,5,5,5,6,4,5,1,6,6,2,5,5,2,6,6,6,5,7,6,2,6,6,6,6,6,4,6,6,5,6,6,5,5,1,6,6,2,5,6,2,6,6,7,5,6,6,5,6,6,5,5,5,6,5,2,6,5,6,6,5,1,6,5,2,6,4,1,6,6,7,5,6,6,5,5,6,5,6,7,4,6,6,5,6,6,5,5,1,6,6,2,6,5,2,6,6,7,4,6,5,4,5,6,4,6,7,4,6,6,5,6,6,4,6,1,6,5,2,6,5,1,6,6,6,4,6,5,4,5,5,5,Qual1827-1101Morphs,5be09ce6-efe6-4383-8e99-882235c1345e,3280884,1,
11/5/18 13:01,11/5/18 13:17,0,172.13.195.123,100,1003,1,11/5/18 13:17,R_2ydtYUILZ6Iwgmo,,,,,38.75059509,-90.41609955,anonymous,EN,2,2,10,2,3,1,2,2,2,4,7,4,3,6,5,2,4,4,4,1,2,6,4,3,6,2,3,5,4,4,4,4,4,5,5,4,3,5,5,5,6,4,5,4,4,3,2,2,6,2,3,6,1,1,6,7,5,4,6,6,2,6,6,3,5,4,1,7,6,2,6,6,1,1,4,6,2,3,4,3,2,3,4,4,3,7,7,2,7,4,2,7,4,3,1,3,5,7,5,4,1,2,3,3,3,5,2,3,6,7,5,2,7,4,3,7,6,1,7,5,1,6,5,3,7,7,4,1,3,5,3,2,3,2,4,4,6,4,2,7,4,4,7,5,2,6,4,5,6,7,4,7,7,1,1,1,6,2,3,3,1,1,6,6,7,3,6,5,5,7,7,1,Qual1827-1101Morphs,5be0a170-c4e9-4679-9c6a-bcb2b5761f03,3280884,1,
11/5/18 13:00,11/5/18 13:19,0,174.255.18.181,100,1151,1,11/5/18 13:19,R_1gU6fHMLVdbtoN4,,,,,37.75100708,-97.8219986,anonymous,EN,2,2,43,2,2,1,5,3,5,3,7,7,1,6,6,4,7,7,1,1,1,6,3,3,3,1,1,6,3,5,2,4,4,3,7,6,2,7,7,1,7,6,4,6,6,2,3,2,5,3,3,3,2,2,5,4,5,2,4,4,4,7,7,1,6,6,2,5,5,4,7,7,1,1,1,6,5,3,4,1,1,6,6,6,2,5,5,3,7,7,5,7,7,1,2,1,5,7,7,1,1,1,6,2,2,3,1,1,6,7,7,4,7,6,2,7,7,1,7,7,1,7,7,2,7,7,2,1,1,6,2,2,4,1,1,6,7,7,5,5,5,4,7,5,4,7,7,1,6,6,3,7,7,2,1,1,6,1,1,3,1,1,6,7,6,3,5,4,4,5,4,3,Qual1827-1101Morphs,5be0a14e-ae2f-4ae5-ad7e-285e8a78bcc5,3280884,1,
11/5/18 13:30,11/5/18 13:49,0,172.58.105.184,100,1130,1,11/5/18 13:49,R_2sakFnZFxSHEcvx,,,,,32.78289795,-96.87139893,anonymous,EN,2,2,20,2,3,2,8,4,6,1,7,4,5,6,6,4,7,5,4,1,2,3,2,3,3,1,2,3,5,6,4,7,6,5,6,5,4,7,6,4,7,7,4,6,5,4,2,2,1,7,2,4,3,2,5,6,5,4,6,6,5,7,6,4,7,7,5,6,5,4,4,5,3,1,3,4,1,4,5,1,2,4,7,6,5,6,6,4,7,6,1,7,6,4,6,2,4,5,6,5,1,2,2,1,5,4,1,2,3,7,6,4,6,5,4,6,6,4,7,7,4,6,5,4,7,6,4,1,2,4,5,3,4,3,2,3,7,6,4,5,6,4,5,3,3,5,5,4,6,6,5,7,6,4,1,1,5,6,2,4,1,2,4,6,6,4,7,7,4,7,5,4,Qual1827-1101Morphs,5be0a86e-0b0f-4f5e-b788-de38e49a0dc4,3280884,1,
11/5/18 13:50,11/5/18 14:11,0,68.53.215.24,100,1230,1,11/5/18 14:11,R_2Xj30UagtbcQ2dK,,,,,34.95350647,-85.29679871,anonymous,EN,2,2,8,1,1,1,2,4,5,4,4,4,5,4,4,5,4,4,5,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,3,4,4,5,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,3,4,4,4,4,4,5,4,4,5,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4,5,4,4,3,4,4,5,4,4,4,4,4,4,5,4,3,4,4,5,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,Qual1827-1101Morphs,5be0ad12-4fcb-4ccf-92d0-09f0f4f3ece1,3280884,1,
11/5/18 13:47,11/5/18 14:11,0,99.100.148.47,100,1474,1,11/5/18 14:11,R_1jlW48JjevBuTW4,,,,,29.68769836,-95.15720367,anonymous,EN,2,2,36,2,2,1,7,2,7,4,2,7,2,5,6,6,2,7,4,3,1,5,6,2,6,3,2,6,5,6,6,7,5,4,6,5,3,1,7,6,3,6,6,2,6,5,2,1,5,5,2,4,3,2,5,3,6,5,3,7,4,3,6,2,5,7,4,4,5,4,3,6,2,2,1,6,6,2,6,2,1,6,2,6,3,7,5,4,4,6,3,1,7,2,3,2,6,4,6,5,1,1,6,7,2,5,2,1,6,1,7,5,2,7,6,3,6,5,1,7,6,2,6,4,1,7,6,2,1,6,6,3,6,4,2,6,2,7,3,7,6,5,4,6,2,1,7,6,5,6,5,4,6,4,3,1,6,6,1,5,2,2,6,5,5,2,7,6,2,7,5,2,Qual1827-1101Morphs,5be0ac4c-dfd8-4163-8418-329661bc322b,3280884,1,
